ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BBTC,96,2016-07-01,413.7610375472,2016-07-18,385.9324287571,,-2831.308199916508,-0.07127977521509837,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
CCHHL,3007,2016-07-01,13.3,2016-08-03,12.35,,-3017.505927565202,-0.07545066342857149,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-04,208.95,,12818.477050638598,0.32138228478401515,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-17,46.65,,-3748.7831277000005,-0.09377818956097562,exit_model_urgent
BFINVEST,341,2016-07-01,117.2977211069,2016-08-19,161.6145415084,,14951.158017953836,0.3737927537045605,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-09-12,203.0144448487,,-2476.872915018437,-0.062117231820278236,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-10-04,310.0141016448,,6215.267999949887,0.156097066443375,signal
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-10-04,1354.63906349,,11440.088519085642,0.2868929315397944,signal
DBCORP,103,2016-10-04,395.0,2016-10-07,381.05,,-1600.488813019998,-0.03933854769620248,exit_model_urgent
AIAENG,32,2016-10-04,1271.7203303297,2016-10-10,1213.6390337162,,-2022.2807289714037,-0.04969353030942929,exit_model_urgent
CARBORUNIV,146,2016-10-04,280.9709689587,2016-10-13,271.1005699809,,-1606.071549385022,-0.039151696365818986,exit_model_urgent
ATLASCYCLE,135,2016-10-04,302.4,2016-10-14,403.45,,13477.552116191997,0.3301379609100528,exit_model_urgent
CERA,16,2016-10-04,2435.2832749962,2016-11-11,2167.4752701263,,-4441.647011967936,-0.1139920522175923,exit_model_urgent
GREENPLY,150,2016-10-04,272.3,2016-11-16,257.85,,-2331.7823477400016,-0.05708856280426004,exit_model_urgent
GENESYS,443,2016-10-04,92.6,2016-11-21,85.2,,-3443.1934536055996,-0.08393569891144709,exit_model_urgent
AMBIKCO,46,2016-10-04,874.65,2017-01-04,1041.35,,7337.393172681193,0.18236842992305477,signal
FACT,1580,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16605.70382509815,0.4024664576171075,exit_model_urgent
CYBERTECH,460,2017-01-04,89.55,2017-02-01,83.6,,-2902.682035755999,-0.0704654197498604,exit_model_urgent
EMMBI,293,2017-01-04,140.55,2017-02-07,130.55,,-3095.634373965797,-0.07517114927499102,exit_model_urgent
ATULAUTO,92,2017-01-04,446.7,2017-02-16,416.55,,-2939.0935016688018,-0.07151705506245806,exit_model_urgent
APARINDS,65,2017-01-04,627.3038590691,2017-04-07,761.2553320657,,8542.845945625493,0.20951313667750252,signal
CHAMBLFERT,633,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3817.200946875855,0.09254715831759758,signal
CHENNPETRO,151,2017-01-04,272.7274416405,2017-04-07,322.0404186238,,7280.622360436697,0.17679204495180237,signal
BEDMUTHA,1224,2017-04-07,34.95,2017-04-13,32.55,,-3109.660269249609,-0.07269161989699591,exit_model_urgent
DHANBANK,1172,2017-04-07,36.5,2017-04-18,33.85,,-3277.857051575993,-0.07662483172602723,exit_model_urgent
AROGRANITE,517,2017-04-07,82.75,2017-04-24,76.95,,-3170.672134421002,-0.07411272644108766,exit_model_urgent
ASHOKA,251,2017-01-04,163.85,2017-05-17,217.0,,13175.2360366758,0.320359964759231,exit_model_urgent
AVTNPL,940,2017-04-07,45.5,2017-05-23,42.5,,-2992.024874839997,-0.06995615793406587,exit_model_urgent
BIRLACABLE,948,2017-04-07,45.1,2017-05-23,40.5,,-4532.763739041606,-0.10601765741019968,exit_model_urgent
BANSWRAS,456,2017-04-07,93.725,2017-05-26,84.825,,-4230.298581151197,-0.09898074764150434,exit_model_urgent
EXCELINDUS,105,2017-04-07,404.7,2017-05-29,370.35,,-3777.662766401998,-0.08889977917568564,exit_model_urgent
GOACARBON,335,2017-04-07,127.45,2017-06-15,175.15,,15807.773765491002,0.3702423254185956,exit_model_urgent
DONEAR,570,2017-07-10,74.6,2017-07-13,68.55,,-3619.527396024001,-0.0851212877104558,exit_model_urgent
ACCELYA,31,2017-07-10,1339.05,2017-10-10,1486.5,,4229.646438929405,0.10189328830693416,signal
GENUSPAPER,5035,2017-10-10,8.45,2017-10-11,7.65,,-4199.122920709,-0.09869664821301775,exit_model_urgent
CORALFINAC,437,2017-10-10,97.3,2017-10-16,90.2,,-3273.719754049198,-0.0769922872723535,exit_model_urgent
ARIES,252,2017-10-10,168.7,2017-10-17,247.9,,19787.411216059212,0.4654503442774159,exit_model_urgent
DWARKESH,540,2017-10-10,78.75,2017-10-19,73.45,,-3033.039462300003,-0.07132367930158737,exit_model_urgent
ALMONDZ,9167,2017-10-10,4.6416666667,2017-10-23,4.3,,-3303.1989850713653,-0.07763070960090772,exit_model_urgent
GEECEE,254,2017-10-10,167.3,2017-11-02,156.3,,-2964.9155818664003,-0.0697722414321578,exit_model_urgent
DHAMPURSUG,140,2017-10-10,302.5,2017-11-13,279.4,,-3404.3355961999987,-0.08038572836363633,exit_model_urgent
CYBERTECH,595,2017-10-10,71.45,2017-11-14,66.2,,-3294.7401916730014,-0.07750004861301613,exit_model_urgent
COCHINSHIP,173,2017-10-10,245.7849467928,2017-12-18,228.8409255591,,-3102.3382260314247,-0.07296049304855583,exit_model_urgent
GHCL,180,2017-10-10,236.4,2017-12-18,312.8,,13580.851941216002,0.31915895706937397,exit_model_urgent
ARROWGREEN,79,2018-01-09,541.6,2018-01-16,500.9,,-3387.3908371487996,-0.0791698024874446,exit_model_urgent
AARTIDRUGS,222,2018-01-09,192.5875,2018-01-18,178.9875,,-3191.162230757094,-0.07463934389848756,exit_model_urgent
DCM,354,2018-01-09,120.85,2018-01-18,111.65,,-3428.868715642806,-0.08014952269921403,exit_model_urgent
GREENLAM,33,2018-01-09,1297.1946748987,2018-01-18,1209.1308122709,,-3078.282865421039,-0.07191002303446642,exit_model_urgent
