ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BANG,1153,2016-07-01,26.0,2016-07-19,23.65,,-2830.124273976002,-0.09440670738461544,exit_model_urgent
CYBERTECH,485,2016-07-01,61.75,2016-07-19,57.1,,-2375.706627784999,-0.07932573572469633,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-500.83734577499854,-0.016705018829268243,signal
ASTRAL,139,2016-07-01,215.5360413046,2016-08-02,215.6917272286,,-98.85956101856209,-0.0032997723217797347,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
BASML,114,2016-07-01,261.15,2016-08-02,264.7,,284.95789685879936,0.009571628084242752,signal
CCHHL,2255,2016-07-01,13.3,2016-08-02,12.5,,-1924.628572218,-0.06417246793984963,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
DTIL,135,2016-07-01,221.6333333333,2016-08-02,211.3666666667,,-1506.3430036769823,-0.05034484730125529,signal
DWARKESH,837,2016-08-02,35.93,2016-08-04,32.7,,-2824.4680217737186,-0.09391911398719728,exit_model_urgent
EIHAHOTELS,166,2016-08-02,180.7,2016-08-10,166.025,,-2556.6974760503945,-0.08523404551411161,exit_model_urgent
GOODLUCK,239,2016-08-02,125.55,2016-08-11,114.4,,-2785.538702493399,-0.09283133134687371,exit_model_urgent
DEEPAKFERT,172,2016-08-02,173.9542662116,2016-08-16,160.6991894198,,-2400.2147389388265,-0.08022072213693685,exit_model_urgent
DELTACORP,303,2016-08-02,99.05,2016-08-17,137.85,,11635.6883715822,0.38769926085209494,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-08-18,218.05,,11355.524267278,0.3791050884630511,exit_model_urgent
COMPUSOFT,2603,2016-08-02,11.55,2016-08-18,10.6,,-2593.772788247803,-0.08627317425108234,exit_model_urgent
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
GABRIEL,303,2016-08-02,99.1875656402,2016-09-01,113.4797220725,,4209.6441201658345,0.1400701270201175,signal
GMDCLTD,365,2016-08-02,82.1901329732,2016-09-01,89.5532978817,,2566.8948507491914,0.08556487716697946,signal
DPSCLTD,825,2016-09-01,36.7,2016-09-09,33.35,,-2885.528890530004,-0.0953027459509538,exit_model_urgent
GHCL,114,2016-09-01,263.65,2016-09-12,241.25,,-2674.4883993611984,-0.08898321470054993,exit_model_urgent
BLKASHYAP,1252,2016-09-01,24.2,2016-09-26,22.3,,-2500.6629522527946,-0.0825344886942147,exit_model_urgent
AEGISLOG,232,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4181.473171681933,0.13816988507795455,signal
DEEPAKNTR,256,2016-09-01,118.3087496855,2016-10-04,120.4293316932,,421.0517330073453,0.013902043056258605,signal
DONEAR,588,2016-09-01,51.55,2016-10-04,68.75,,9991.684760551205,0.32963455203491776,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
GOACARBON,314,2016-09-01,96.35,2016-10-04,113.1,,5137.816030841201,0.16982326347483137,signal
GODFRYPHLP,76,2016-09-01,398.3661933693,2016-10-04,422.8428624335,,1738.4546724431966,0.05742054412627704,signal
ALKALI,490,2016-10-04,63.15,2016-10-10,93.3,,14649.042396197998,0.4734125873349168,exit_model_urgent
ATLASCYCLE,116,2016-09-01,260.5,2016-10-14,403.45,,16460.660423944,0.5447303072322456,exit_model_urgent
CARBORUNIV,110,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-2443.374633708914,-0.0790561984122497,exit_model_urgent
AIAENG,24,2016-10-04,1271.7203303297,2016-11-04,1200.1059952846,,-1841.503469086947,-0.060335051175963876,signal
APOLSINHOT,101,2016-10-04,305.0,2016-11-04,315.5,,936.5994559399987,0.03040413750819668,signal
CERA,12,2016-10-04,2435.2832749962,2016-11-04,2687.8670521991,,2913.4661258976485,0.09969634593133027,signal
DECCANCE,58,2016-10-04,527.925,2016-11-04,552.55,,1305.0949506922007,0.04262279126940382,signal
GENESYS,334,2016-10-04,92.6,2016-11-04,98.9,,1979.803129787204,0.0640124652354213,signal
GREENPLY,113,2016-10-04,272.3,2016-11-04,289.75,,1848.0906313691994,0.06006163917884684,signal
GSFC,359,2016-10-04,86.25,2016-11-04,91.4,,1724.3109488349983,0.055688052927536175,signal
DHUNINV,151,2016-11-04,210.85,2016-11-08,192.4,,-2914.0067728281974,-0.09152505619255387,exit_model_urgent
CINELINE,329,2016-11-04,96.95,2016-11-09,88.8,,-2809.6408585825993,-0.08808604248994326,exit_model_urgent
FACT,1306,2016-11-04,24.4692531859,2016-11-11,22.5755024301,,-2601.7718563301896,-0.08141516735921218,exit_model_urgent
20MICRONS,779,2016-11-04,41.0,2016-11-15,36.15,,-3906.611596388,-0.12231477492682927,exit_model_urgent
ALLCARGO,166,2016-11-04,192.2,2016-11-15,175.9,,-2834.125649678397,-0.08882958419562947,exit_model_urgent
CINEVISTA,4233,2016-11-04,7.55,2016-11-15,6.6,,-4149.892641541799,-0.1298499065695364,exit_model_urgent
ESABINDIA,52,2016-11-04,611.25,2016-11-15,550.95,,-3263.442194219999,-0.10267239874846622,exit_model_urgent
COLPAL,39,2016-11-04,811.5009431413,2016-11-21,734.1109024887,,-3145.5049120560434,-0.09938863631111947,exit_model_urgent
CENTEXT,3164,2016-11-04,10.1,2016-12-06,8.8,,-4241.731580788797,-0.13273496328712864,signal
DUCON,383,2016-11-04,83.25,2016-12-06,63.8,,-7577.593397897002,-0.2376557256336337,signal
ARIHANT,450,2016-12-06,68.45,2016-12-08,61.85,,-3093.8904888299985,-0.10044283706939366,exit_model_urgent
BALKRISIND,53,2016-12-06,571.784043635,2016-12-16,513.8515155634,,-3192.3116932592966,-0.10534098803512865,exit_model_urgent
AGARIND,83,2016-12-06,369.9,2016-12-20,334.15,,-3090.7350619563986,-0.10066983463314405,exit_model_urgent
DATAMATICS,352,2016-12-06,87.45,2016-12-21,129.8,,14783.390355219206,0.4802546375597486,exit_model_urgent
ALKEM,19,2016-12-06,1580.3816162296,2016-12-26,1445.1313087607,,-2690.5282067652006,-0.08960288215850229,exit_model_urgent
GRAVITA,768,2016-12-06,40.1557166569,2016-12-29,36.954557533,,-2582.529876956145,-0.08374073209429746,exit_model_urgent
ARIES,197,2016-12-06,155.8,2017-01-04,173.15,,3294.5015390808003,0.1073386268703466,signal
BEL,788,2016-12-06,39.1159767204,2017-01-04,38.455451578,,-644.4683211581723,-0.020908418196618192,signal
FMNL,931,2016-12-06,33.1,2017-01-04,37.0,,3506.9548107187984,0.11380268141389722,signal
FACT,1188,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,12485.807686213037,0.40246645761710736,exit_model_urgent
APARINDS,49,2017-01-04,627.3038590691,2017-02-03,636.3179596398,,318.0603101408851,0.010347500089034319,signal
CAMLINFINE,285,2017-01-04,108.7,2017-02-03,113.05,,1115.1476008860009,0.03599630726402947,signal
CHAMBLFERT,476,2017-01-04,65.1595722552,2017-02-03,65.614944107,,92.00797137425616,0.002966472167004071,signal
CHENNPETRO,113,2017-01-04,272.7274416405,2017-02-03,292.2632981417,,2083.5981453196873,0.06760933747291477,signal
CYBERTECH,346,2017-01-04,89.55,2017-02-03,85.75,,-1439.4217051556006,-0.046456486193188186,signal
DEEPAKFERT,140,2017-01-04,220.0739903299,2017-02-03,263.4632679181,,5950.576765320042,0.19313558902881064,signal
DPSCLTD,776,2017-01-04,39.95,2017-02-03,42.05,,1504.9103214895986,0.04854361513391735,signal
ELECTHERM,142,2017-01-04,217.95,2017-02-03,206.25,,-1785.8793230987976,-0.057704129164487195,signal
EMMBI,220,2017-01-04,140.55,2017-02-03,140.9,,-47.36710673200287,-0.0015318749953754038,signal
GOLDIAM,1846,2017-02-03,17.13,2017-02-14,15.39,,-3339.2265127821556,-0.10559827413660232,exit_model_urgent
CINELINE,373,2017-02-03,84.65,2017-02-15,77.45,,-2812.5953427493987,-0.08907820540815117,exit_model_urgent
ACE,597,2017-02-03,52.9370796083,2017-03-07,55.1822903363,,1213.278875391643,0.03839072609674994,signal
AJMERA,4461,2017-02-03,7.092,2017-03-07,7.488,,1639.3074182940982,0.05181547145177672,signal
ALKEM,18,2017-02-03,1693.4329271374,2017-03-07,1914.8153412633,,3862.282879748236,0.12670786522371344,signal
BANKINDIA,261,2017-02-03,120.9306727017,2017-03-07,114.7909055656,,-1729.4281325326447,-0.05479305852926916,signal
DECCANCE,57,2017-02-03,550.425,2017-03-07,513.9,,-2208.1150193787,-0.07037990641613298,signal
DHANBANK,1258,2017-02-03,25.15,2017-03-07,29.35,,5156.346237839607,0.16297591992842966,signal
GLENMARK,33,2017-02-03,940.8762028106,2017-03-07,894.2942394286,,-1662.086383000391,-0.05353122321497772,signal
GOKULAGRO,1964,2017-03-07,16.175,2017-03-09,14.875,,-2680.9726120283995,-0.08439303481298298,exit_model_urgent
BOMDYEING,519,2017-03-07,61.2,2017-03-27,87.7,,13625.747096222403,0.42898444394771246,exit_model_urgent
ADANIPOWER,3928,2017-03-07,8.09,2017-04-07,8.73,,2386.1078910281612,0.07508792036093948,signal
BFINVEST,197,2017-02-03,160.5873304395,2017-04-07,168.5115301139,,1433.8256234955734,0.04532301917852716,signal
BRIGADE,328,2017-03-07,96.6426121498,2017-04-07,114.795945129,,5826.797820660326,0.18381774981906832,signal
CORDSCABLE,392,2017-03-07,80.9,2017-04-07,88.1,,2694.8482008223946,0.08497667190605668,signal
DELTACORP,185,2017-03-07,171.15,2017-04-07,181.95,,1870.6495065269992,0.05908044963014897,signal
FILATEX,3233,2017-03-07,9.8290170983,2017-04-07,13.3236676332,,11170.394308042822,0.35152216028382455,signal
GRAPHITE,337,2017-03-07,94.1331160776,2017-04-07,103.8503590743,,3147.118627989563,0.09920664833713538,signal
GRAVITA,672,2017-03-07,47.2641729467,2017-04-07,56.3968916237,,6009.439178470202,0.18920499963448198,signal
DHANBANK,905,2017-04-07,36.5,2017-04-19,33.3,,-3028.859753990004,-0.09169332487671245,exit_model_urgent
AROGRANITE,399,2017-04-07,82.75,2017-04-25,75.7,,-2945.7484170869975,-0.08921846662235643,exit_model_urgent
ALKALI,394,2017-04-07,83.7,2017-05-10,81.4,,-1038.8397455576014,-0.03150118399522107,signal
ASHOKA,161,2017-04-07,204.95,2017-05-10,207.55,,285.88323138060514,0.008663928980727162,signal
ASIANHOTNR,260,2017-04-07,127.05,2017-05-10,141.9,,3728.138234963997,0.11286102488311679,signal
AVTNPL,726,2017-04-07,45.5,2017-05-10,47.95,,1645.8382349640015,0.04982406184615389,signal
BANSWRAS,352,2017-04-07,93.725,2017-05-10,113.175,,6713.706358409603,0.20349991386823163,signal
BEDMUTHA,945,2017-04-07,34.95,2017-05-10,43.35,,7805.159350946997,0.2363212556394849,signal
EXCELINDUS,81,2017-04-07,404.7,2017-05-10,389.2,,-1387.3469912243963,-0.04232206729033841,signal
GOACARBON,259,2017-04-07,127.45,2017-05-10,143.15,,3933.532553021396,0.11916347096586884,signal
GOKUL,1395,2016-12-06,22.1,2017-05-11,30.15,,11105.750914686,0.3602313016651583,exit_model_urgent
BALKRISHNA,364,2017-05-10,92.65,2017-05-15,85.45,,-2756.443443863198,-0.08173391067242304,exit_model_urgent
CENTENKA,78,2017-05-10,430.5,2017-05-18,392.55,,-3095.157827267998,-0.09217540210452956,exit_model_urgent
CHAMBLFERT,316,2017-05-10,106.5984107733,2017-05-18,97.8221532649,,-2908.781935052546,-0.08635218908807232,exit_model_urgent
CHENNPETRO,92,2017-05-10,363.7800239238,2017-05-18,333.1422930231,,-2953.281661470901,-0.08824257934352049,exit_model_urgent
GROBTEA,98,2017-05-10,342.55,2017-05-19,312.5,,-3079.921226230803,-0.09174651179273106,exit_model_urgent
ABB,21,2017-05-10,1578.5689732795,2017-05-23,1428.9845479579,,-3274.6050741699837,-0.09878160384498193,exit_model_urgent
CGPOWER,384,2017-05-10,87.8192668191,2017-05-29,77.9408341061,,-3928.9535552712805,-0.11650803125691385,exit_model_urgent
BHARTIARTL,93,2017-05-10,360.6674872776,2017-06-08,355.7811806089,,-589.3358370063506,-0.01757004639306955,signal
ESCORTS,54,2017-05-10,615.7214936151,2017-06-08,727.525215116,,5903.67058238895,0.1775595527213241,signal
GMDCLTD,266,2017-05-10,126.8472500162,2017-06-08,135.8838614949,,2268.0277650039716,0.06721801354068718,signal
CONSOFINVT,457,2017-06-08,72.95,2017-06-12,66.15,,-3241.689106409798,-0.09723662250034264,exit_model_urgent
EMKAY,293,2017-06-08,113.6,2017-06-15,164.6,,14809.1254721984,0.4449215699718311,exit_model_urgent
GINNIFILA,747,2017-06-08,44.65,2017-06-20,61.6,,12527.498953373411,0.37559716891825345,exit_model_urgent
GOACARBON,202,2017-06-08,164.5,2017-06-20,245.85,,16299.049904931999,0.4905067833799392,exit_model_urgent
APLAPOLLO,203,2017-06-08,164.2213326274,2017-06-27,149.6056681723,,-3101.06408594787,-0.09302188405662225,exit_model_urgent
GRAPHITE,330,2017-06-08,100.8538524233,2017-06-29,138.6526434632,,12339.738697076697,0.3707656838923115,exit_model_urgent
BEPL,986,2017-06-08,33.8333333333,2017-07-05,46.4,,12256.55768494367,0.3674064794299227,exit_model_urgent
BBL,54,2017-06-08,611.125,2017-07-10,688.025,,4019.8679474309974,0.12181141178400483,signal
BOMDYEING,396,2017-06-08,84.1,2017-07-10,89.55,,2024.2498568687952,0.060781712994054556,signal
GENUSPOWER,726,2017-06-08,45.95,2017-07-10,50.9,,3459.524217507598,0.10370369690097926,signal
ALMONDZ,8027,2017-07-10,4.425,2017-07-12,3.975,,-3755.012596241697,-0.1057170072542372,exit_model_urgent
GOKEX,349,2017-07-10,101.55,2017-07-14,91.85,,-3527.846761467401,-0.09954154054751357,exit_model_urgent
CELEBRITY,2114,2017-07-10,16.8,2017-07-19,24.6,,16346.3545982016,0.4602636222857142,exit_model_urgent
GAEL,514,2017-07-10,69.025,2017-07-31,59.825,,-4871.499198754202,-0.13730713365157554,exit_model_urgent
BALKRISIND,44,2017-07-10,792.6511994211,2017-08-08,755.4589433034,,-1776.7363752900128,-0.05094343160670577,signal
BHARTIARTL,90,2017-07-10,392.5494288089,2017-08-08,404.2572131042,,911.6022940274779,0.02580290183790847,signal
BODALCHEM,213,2017-07-10,166.7,2017-08-08,174.15,,1444.0371771468053,0.040668969787642624,signal
FOSECOIND,24,2017-07-10,1437.95,2017-08-08,1371.65,,-1730.0056125935953,-0.05012939753913544,signal
GNA,281,2017-07-10,126.1458367928,2017-08-08,133.4683519155,,1915.0557342383618,0.05402592059297625,signal
GPIL,7312,2017-07-10,4.8572662604,2017-08-08,5.9567150424,,7896.319543617661,0.22232925936887857,signal
AUSOMENT,1158,2017-08-08,31.0,2017-08-10,28.05,,-3560.485058615999,-0.09918338232258062,exit_model_urgent
DBL,61,2017-08-08,579.2,2017-08-10,514.2,,-4107.1053368704015,-0.11624584890607738,exit_model_urgent
DHAMPURSUG,140,2017-08-08,255.4,2017-08-10,227.45,,-4056.8139215519986,-0.11345827054346119,exit_model_urgent
EUROTEXIND,854,2017-08-08,42.0,2017-08-10,38.55,,-3090.564395856003,-0.08616494914285723,exit_model_urgent
GPTINFRA,232,2017-08-08,154.45,2017-08-10,135.75,,-4482.521209380793,-0.1250968734826803,exit_model_urgent
AMDIND,1079,2017-08-08,33.25,2017-09-08,33.55,,179.40041083899996,0.005000464390977443,signal
BAJAJ-AUTO,14,2017-08-08,2485.7477180382,2017-09-08,2489.0346148353,,-93.9541289909539,-0.0026997949811801585,signal
EDELWEISS,150,2017-08-08,238.15,2017-09-08,255.85,,2511.3208185300027,0.07030081373168179,signal
AGRITECH,291,2017-09-08,121.65,2017-09-12,109.85,,-3576.182660113802,-0.10102168098479249,exit_model_urgent
DENORA,120,2017-09-08,294.85,2017-09-12,265.35,,-3682.309659143997,-0.10407296532541963,exit_model_urgent
FMNL,191,2017-09-08,184.45,2017-09-12,166.5,,-3570.1481000553977,-0.10133843789319592,exit_model_urgent
ALKYLAMINE,182,2017-09-08,193.6071007578,2017-09-15,178.2935447656,,-2928.791604520804,-0.08311813719803766,exit_model_urgent
GOKEX,394,2017-09-08,89.65,2017-10-04,123.45,,13175.131264166797,0.37299965925487993,exit_model_urgent
BANARISUG,17,2017-09-08,2040.95,2017-10-10,2344.8,,5025.898892654208,0.1448546565729687,signal
CINELINE,398,2017-09-08,88.9,2017-10-10,91.75,,991.9895364375989,0.028036400688413912,signal
GIPCL,261,2017-09-08,135.65,2017-10-10,143.75,,1971.6992404721968,0.05569040339255427,signal
GNA,242,2017-09-08,146.2269036888,2017-10-10,188.0521171866,,9979.372256065813,0.2820074445811231,signal
GENUSPAPER,4251,2017-10-10,8.45,2017-10-11,7.65,,-3545.2773656273966,-0.09869664821301767,exit_model_urgent
DWARKESH,456,2017-10-10,78.75,2017-10-26,72.75,,-2880.433323719997,-0.0802125681904761,exit_model_urgent
ALMONDZ,7740,2017-10-10,4.6416666667,2017-10-30,4.1916666667,,-3627.499688239037,-0.10097002736734685,exit_model_urgent
BLUESTARCO,92,2017-10-10,386.7077278564,2017-11-02,343.2579572499,,-4140.473309184545,-0.11638025677563289,exit_model_urgent
GEECEE,214,2017-10-10,167.3,2017-11-06,152.3,,-3353.9997422024026,-0.09368138668021524,exit_model_urgent
