ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-13,24.8,,-2006.4354148959974,-0.050175938153846085,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-07-19,147.85,,-2639.8229493614053,-0.06618511134665411,exit_model_urgent
DTIL,180,2016-07-01,221.6333333333,2016-08-01,210.9666666667,,-2080.457338235974,-0.05214962997534183,exit_model_urgent
CCHHL,3007,2016-07-01,13.3,2016-08-02,12.5,,-2566.455927565199,-0.0641724679398496,exit_model_urgent
CEMPRO,278,2016-07-01,143.7641786056,2016-08-03,141.127672908,,-893.6972891712139,-0.022361192345941888,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-08-04,213.7345327559,,-493.656652186437,-0.012380362560207943,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-10,49.6,,-1447.7831277000005,-0.036217213951219525,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-08-11,287.0,,3794.3434931526062,0.09496316551483838,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-09-12,276.9280195402,,1285.4417663644927,0.03228399625163474,exit_model_urgent
GENESYS,427,2016-10-04,92.6,2016-10-07,97.5,,1933.2656779016033,0.048893674738661,exit_model_urgent
ALKALI,627,2016-10-04,63.15,2016-10-10,93.3,,18744.795066155406,0.4734125873349171,exit_model_urgent
ATLASCYCLE,130,2016-10-04,302.4,2016-10-17,420.0,,15129.883519296003,0.384866796888889,exit_model_urgent
CARBORUNIV,140,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3109.749533811344,-0.07905619841224967,exit_model_urgent
GOODLUCK,348,2016-10-04,113.6,2016-11-04,108.2,,-2038.2045586175955,-0.05155730326760553,exit_model_urgent
CERA,16,2016-10-04,2435.2832749962,2016-11-09,2479.8190838533,,555.8540076640638,0.014265640402370931,exit_model_urgent
GREENPLY,145,2016-10-04,272.3,2016-11-09,276.1,,392.1937305180036,0.00993310447447677,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3148.9804723053458,-0.07987606458199908,exit_model_urgent
AMBIKCO,45,2016-10-04,874.65,2016-11-21,963.4,,3835.4434754489994,0.0974470670922083,exit_model_urgent
COUNCODOS,9400,2017-01-04,4.35,2017-01-09,4.0,,-3454.4633418800004,-0.08448186211494253,exit_model_urgent
GOLDIAM,2616,2017-01-04,15.63,2017-01-13,14.76,,-2440.375619463368,-0.05968428009980825,exit_model_urgent
FACT,1565,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16448.05473815102,0.40246645761710753,exit_model_urgent
CHAMBLFERT,627,2017-01-04,65.1595722552,2017-02-01,64.8283927266,,-371.9723414526961,-0.009104684121736512,exit_model_urgent
EMMBI,290,2017-01-04,140.55,2017-02-07,130.55,,-3063.9384588739995,-0.07517114927499109,exit_model_urgent
ASHOKA,249,2017-01-04,163.85,2017-02-23,178.5,,3483.754076224199,0.08538895468904482,exit_model_urgent
BIRLAMONEY,1489,2017-01-04,27.45,2017-02-23,29.0,,2143.554832579408,0.05244421036794191,exit_model_urgent
APARINDS,65,2017-01-04,627.3038590691,2017-03-17,686.2347531226,,3666.5083143239826,0.08992104767867437,exit_model_urgent
CHENNPETRO,149,2017-01-04,272.7274416405,2017-03-29,310.9815747453,,5536.422538295992,0.13624297584464057,exit_model_urgent
BEDMUTHA,1195,2017-04-07,34.95,2017-04-13,32.55,,-3035.983677903001,-0.07269161989699574,exit_model_urgent
DHANBANK,1144,2017-04-07,36.5,2017-04-18,33.85,,-3199.546473552,-0.0766248317260274,exit_model_urgent
GOACARBON,327,2017-04-07,127.45,2017-04-19,138.8,,3543.824690494206,0.0850324391887016,exit_model_urgent
AROGRANITE,504,2017-04-07,82.75,2017-04-24,76.95,,-3090.945368951994,-0.07411272644108748,exit_model_urgent
ALKALI,499,2017-04-07,83.7,2017-04-27,79.2,,-2413.487901099601,-0.05778553286021507,exit_model_urgent
BANSWRAS,445,2017-04-07,93.725,2017-05-12,108.325,,6329.248095148498,0.1517527812995465,exit_model_urgent
AVTNPL,918,2017-04-07,45.5,2017-05-17,46.3,,566.4012392519944,0.01356032558241745,exit_model_urgent
ASIANHOTNR,328,2017-04-07,127.05,2017-05-24,138.05,,3440.3897733392005,0.08255799458008659,exit_model_urgent
EXCELINDUS,103,2017-04-07,404.7,2017-05-29,370.35,,-3705.7072851371922,-0.0888997791756855,exit_model_urgent
ALMONDZ,9425,2017-07-10,4.425,2017-07-12,3.975,,-4408.993860667499,-0.10571700725423726,exit_model_urgent
DONEAR,559,2017-07-10,74.6,2017-07-13,68.55,,-3549.676867328795,-0.08512128771045566,exit_model_urgent
GOKEX,410,2017-07-10,101.55,2017-07-14,91.85,,-4144.461811465997,-0.09954154054751346,exit_model_urgent
CELEBRITY,2482,2017-07-10,16.8,2017-07-19,24.6,,19191.888416620808,0.4602636222857145,exit_model_urgent
FOSECOIND,29,2017-07-10,1437.95,2017-07-28,1388.3,,-1607.5734485506036,-0.03855041356890025,exit_model_urgent
GAEL,604,2017-07-10,69.025,2017-07-31,59.825,,-5724.485439781201,-0.13730713365157554,exit_model_urgent
GOLDIAM,2518,2017-07-10,16.56,2017-08-10,15.46,,-2937.5135139833583,-0.07044721277294683,exit_model_urgent
BERGEPAINT,200,2017-07-10,207.6116818414,2017-08-22,195.6491569588,,-2559.511633448172,-0.061641801914678614,exit_model_urgent
BHARTIARTL,106,2017-07-10,392.5494288089,2017-09-07,384.4217107857,,-1028.898321684188,-0.024727046399912623,exit_model_urgent
GENUSPAPER,4903,2017-10-10,8.45,2017-10-11,7.65,,-4089.0366792921923,-0.09869664821301757,exit_model_urgent
ARIES,245,2017-10-10,168.7,2017-10-17,247.9,,19237.760904502,0.46545034427741555,exit_model_urgent
DWARKESH,526,2017-10-10,78.75,2017-10-26,72.75,,-3322.605105870003,-0.08021256819047627,exit_model_urgent
GEECEE,247,2017-10-10,167.3,2017-10-27,158.05,,-2450.9553099252007,-0.059311990386132704,exit_model_urgent
BLUESTARCO,107,2017-10-10,386.7077278564,2017-11-02,343.2579572499,,-4815.55047916028,-0.11638025677563275,exit_model_urgent
ALKYLAMINE,183,2017-10-10,226.0638843671,2017-11-07,224.6916306483,,-417.515133107132,-0.010092295219951777,exit_model_urgent
DHAMPURSUG,136,2017-10-10,302.5,2017-11-08,285.45,,-2484.268864880003,-0.06038572836363644,exit_model_urgent
CYBERTECH,579,2017-10-10,71.45,2017-11-10,68.35,,-1961.2921360986074,-0.04740907590482873,exit_model_urgent
BIOCON,227,2017-10-10,181.8376531153,2017-11-13,185.9753648481,,773.2400795797075,0.01873288565128092,exit_model_urgent
ARROWGREEN,76,2018-01-09,541.6,2018-01-16,500.9,,-3258.7557420671947,-0.07916980248744449,exit_model_urgent
CAMLINFINE,314,2018-01-09,131.75,2018-01-18,127.7,,-1438.091934993994,-0.034762129950663995,exit_model_urgent
EIHAHOTELS,152,2018-01-09,272.625,2018-01-18,260.5,,-2009.6714703879989,-0.048497103462631794,exit_model_urgent
AARTIDRUGS,215,2018-01-09,192.5875,2018-01-19,174.5,,-4055.35249825575,-0.09794044080249238,exit_model_urgent
ALKALI,455,2018-01-09,91.0,2018-01-19,90.15,,-553.284719260002,-0.013362751340659389,exit_model_urgent
CROMPTON,156,2018-01-09,265.0067014058,2018-01-24,240.6752277346,,-3961.9873807598196,-0.09583665194179421,exit_model_urgent
EVEREADY,93,2018-01-09,444.85,2018-01-29,419.9,,-2486.7481692366055,-0.06010841323187604,exit_model_urgent
ARVSMART,195,2018-01-09,212.45,2018-01-30,198.85,,-2818.626221853003,-0.06803715436761598,exit_model_urgent
COFFEEDAY,127,2018-01-09,326.0,2018-01-30,332.0,,595.4773470159998,0.014382815975460119,exit_model_urgent
FMGOETZE,71,2018-01-09,581.55,2018-01-31,534.35,,-3517.2723797845974,-0.08518450279872748,exit_model_urgent
COMPUSOFT,2493,2018-04-13,16.25,2018-04-17,14.6,,-4276.389974535006,-0.1055605535384617,exit_model_urgent
20MICRONS,746,2018-04-13,54.25,2018-04-25,50.1,,-3258.6760742859988,-0.08051978785253454,exit_model_urgent
AHLWEST,117,2018-04-13,345.55,2018-04-26,368.1,,2475.739434799805,0.0612361918952396,exit_model_urgent
FACT,704,2018-04-13,57.5102203187,2018-05-03,51.6296258667,,-4302.781717739701,-0.10627512492896381,exit_model_urgent
CHAMBLFERT,258,2018-04-13,156.433680911,2018-05-07,158.5312094831,,378.83118221894983,0.009386328487742407,exit_model_urgent
GRAVITA,236,2018-04-13,171.6386200834,2018-05-08,171.3561648666,,-229.5811628567244,-0.005667731056424273,exit_model_urgent
DISHTV,511,2018-04-13,79.15,2018-05-09,74.25,,-2666.576125299798,-0.06592986205685403,exit_model_urgent
ESCORTS,43,2018-04-13,920.8241679685,2018-05-18,852.8961116124,,-3080.1629226461955,-0.07779085124744828,exit_model_urgent
ATUL,15,2018-04-13,2691.2995289184,2018-05-28,2693.6240915915,,-127.5013744764874,-0.003158359573295771,exit_model_urgent
ABBOTINDIA,6,2018-04-13,6252.9204423703,2018-07-11,6795.1201938756,,3102.29958130444,0.08268935051753322,exit_model_urgent
