ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,139,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-1579.6773472261593,-0.05272707600573496,exit_model_urgent
BASML,114,2016-07-01,261.15,2016-07-08,244.85,,-1977.942103141202,-0.06643832787976266,exit_model_urgent
CYBERTECH,485,2016-07-01,61.75,2016-07-12,57.45,,-2205.956627784999,-0.07365771953036433,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
DTIL,135,2016-07-01,221.6333333333,2016-07-22,212.6666666667,,-1330.8430036769823,-0.044479303610473836,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-626.7585957750016,-0.020905018829268346,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
EIHAHOTELS,164,2016-08-02,180.7,2016-08-08,171.8,,-1578.7938920015986,-0.053274997368013235,exit_model_urgent
GOODLUCK,237,2016-08-02,125.55,2016-08-09,119.0,,-1672.0287551921974,-0.0561925420199123,exit_model_urgent
DELTACORP,300,2016-08-02,99.05,2016-08-17,137.85,,11520.483536220003,0.387699260852095,exit_model_urgent
ASAHIINDIA,166,2016-08-02,178.3933045427,2016-09-01,200.1219662194,,3487.850467345106,0.11777991022424283,signal
GABRIEL,300,2016-08-02,99.1875656402,2016-09-01,113.4797220725,,4167.964475411722,0.14007012702011765,signal
GMDCLTD,362,2016-08-02,82.1901329732,2016-09-01,89.5532978817,,2545.797084852624,0.0855648771669795,signal
BLKASHYAP,1253,2016-09-01,24.2,2016-09-02,22.85,,-1813.5102868791946,-0.059807215966941975,exit_model_urgent
DPSCLTD,826,2016-09-01,36.7,2016-09-02,34.15,,-2228.2265013064025,-0.07350438082833796,exit_model_urgent
GOACARBON,314,2016-09-01,96.35,2016-09-07,92.05,,-1471.8839691587964,-0.048651048927867035,exit_model_urgent
GHCL,115,2016-09-01,263.65,2016-09-08,251.5,,-1519.198823916995,-0.05010591525052137,exit_model_urgent
CESC,650,2016-09-01,46.6144340131,2016-09-27,43.5187927558,,-2134.033719628602,-0.07043159203662033,exit_model_urgent
ATLASCYCLE,116,2016-09-01,260.5,2016-09-29,243.3,,-2116.7395760559957,-0.07004896340115149,exit_model_urgent
