ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BEDMUTHA,2298,2016-07-01,17.4,2016-07-12,18.75,,2941.4758469616063,0.07356411489655189,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-13,24.8,,-2006.4354148959974,-0.050175938153846085,exit_model_urgent
ASHIMASYN,2380,2016-07-01,16.8,2016-07-15,17.6,,1743.1806734720012,0.043596955619047646,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-07-19,147.85,,-2639.8229493614053,-0.06618511134665411,exit_model_urgent
GNFC,249,2016-07-01,160.05,2016-07-25,155.35,,-1330.5902203254009,-0.03338791518025619,exit_model_urgent
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-07-26,1085.8537073162,,1226.2449844812436,0.03075159932520449,exit_model_urgent
ASHOKA,235,2016-07-01,169.9,2016-08-02,152.55,,-4237.838056237997,-0.10614098546674507,exit_model_urgent
CEMPRO,278,2016-07-01,143.7641786056,2016-08-03,141.127672908,,-893.6972891712139,-0.022361192345941888,exit_model_urgent
GILLANDERS,578,2016-07-01,69.15,2016-08-04,64.2,,-3021.8577885204068,-0.07560560609978324,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-08-11,287.0,,3794.3434931526062,0.09496316551483838,exit_model_urgent
GENESYS,430,2016-10-04,92.6,2016-10-07,97.5,,1946.8483407439999,0.0488936747386609,exit_model_urgent
ATLASCYCLE,131,2016-10-04,302.4,2016-10-17,420.0,,15246.26723867521,0.3848667968888892,exit_model_urgent
CARBORUNIV,141,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3131.9620304814234,-0.07905619841224963,exit_model_urgent
CYBERTECH,467,2016-10-04,85.25,2016-11-02,87.85,,1054.0734788189948,0.026476441724340046,exit_model_urgent
FILATEX,5342,2016-10-04,7.4542545745,2016-11-02,7.9942005799,,2724.229331786504,0.06841251564636121,exit_model_urgent
GSFC,461,2016-10-04,86.25,2016-11-03,94.2,,3505.026594465002,0.08815182104347831,exit_model_urgent
DECCANCE,75,2016-10-04,527.925,2016-11-04,552.55,,1687.6227810674973,0.04262279126940373,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3148.9804723053458,-0.07987606458199908,exit_model_urgent
AARTIIND,240,2016-10-04,165.4104905228,2016-11-15,169.1284046906,,732.6283097165287,0.01845480263980859,exit_model_urgent
AMBIKCO,45,2016-10-04,874.65,2016-11-21,963.4,,3835.4434754489994,0.0974470670922083,exit_model_urgent
GOACARBON,361,2017-01-04,113.0,2017-01-13,113.95,,178.8768010440035,0.004384987646017785,exit_model_urgent
GOLDIAM,2610,2017-01-04,15.63,2017-01-13,14.76,,-2434.7784276756065,-0.059684280099808217,exit_model_urgent
FACT,1562,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16416.524920761593,0.4024664576171076,exit_model_urgent
CHAMBLFERT,626,2017-01-04,65.1595722552,2017-02-01,64.8283927266,,-371.3790841298105,-0.009104684121736643,exit_model_urgent
EMMBI,290,2017-01-04,140.55,2017-02-07,130.55,,-3063.9384588739995,-0.07517114927499109,exit_model_urgent
GEECEE,304,2017-01-04,133.95,2017-02-09,131.3,,-969.3828039135915,-0.023805593306457425,exit_model_urgent
DPSCLTD,1021,2017-01-04,39.95,2017-02-10,40.5,,397.49309051659657,0.009745117011263994,exit_model_urgent
CELEBRITY,3849,2017-01-04,10.6,2017-02-23,10.85,,798.1510596552034,0.019562813660377442,exit_model_urgent
