ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,485,2016-07-01,61.75,2016-07-12,57.45,,-2205.956627784999,-0.07365771953036433,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-19,147.85,,-1982.4757327219995,-0.06618511134665396,exit_model_urgent
DTIL,135,2016-07-01,221.6333333333,2016-08-01,210.9666666667,,-1560.3430036769823,-0.05214962997534189,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-500.83734577499854,-0.016705018829268243,signal
ASTRAL,139,2016-07-01,215.5360413046,2016-08-02,215.6917272286,,-98.85956101856209,-0.0032997723217797347,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
BASML,114,2016-07-01,261.15,2016-08-02,264.7,,284.95789685879936,0.009571628084242752,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
GRPLTD,104,2016-07-01,286.175,2016-08-02,318.9,,3283.6936934775986,0.11033101361719223,signal
ALICON,91,2016-08-02,328.3,2016-08-04,294.85,,-3164.111205127596,-0.10591060860066999,exit_model_urgent
EIHAHOTELS,165,2016-08-02,180.7,2016-08-10,166.025,,-2541.2956840259976,-0.08523404551411172,exit_model_urgent
GOODLUCK,238,2016-08-02,125.55,2016-08-11,114.4,,-2773.8837288427967,-0.09283133134687366,exit_model_urgent
DELTACORP,302,2016-08-02,99.05,2016-08-17,137.85,,11597.286759794799,0.3876992608520949,exit_model_urgent
COMPUSOFT,2595,2016-08-02,11.55,2016-08-18,10.6,,-2585.801146947004,-0.08627317425108237,exit_model_urgent
ASAHIINDIA,168,2016-08-02,178.3933045427,2016-09-01,200.1219662194,,3529.8727621324033,0.11777991022424306,signal
BHARATRAS,103,2016-08-02,289.5,2016-09-01,352.9625,,6416.704749697994,0.21519207034887716,signal
GABRIEL,302,2016-08-02,99.1875656402,2016-09-01,113.4797220725,,4195.750905247798,0.1400701270201176,signal
GMDCLTD,364,2016-08-02,82.1901329732,2016-09-01,89.5532978817,,2559.862262117007,0.08556487716697964,signal
DONEAR,591,2016-09-01,51.55,2016-09-09,52.15,,232.0627440233984,0.007617093257031956,exit_model_urgent
DPSCLTD,830,2016-09-01,36.7,2016-09-09,33.35,,-2903.016944412004,-0.0953027459509538,exit_model_urgent
ATLASCYCLE,117,2016-09-01,260.5,2016-09-12,252.8,,-1023.4873310219991,-0.0335806332667946,exit_model_urgent
GHCL,115,2016-09-01,263.65,2016-09-12,241.25,,-2697.948823916995,-0.08898321470054982,exit_model_urgent
BLKASHYAP,1260,2016-09-01,24.2,2016-09-15,23.25,,-1319.6416292639988,-0.043278290347107395,exit_model_urgent
DEEPAKNTR,257,2016-09-01,118.3087496855,2016-09-16,116.5333787023,,-578.5634523218941,-0.01902834460531845,exit_model_urgent
CESC,654,2016-09-01,46.6144340131,2016-09-27,43.5187927558,,-2147.16623482632,-0.07043159203662044,exit_model_urgent
AEGISLOG,233,2016-09-01,130.4451490792,2016-09-29,140.8639414305,,2305.3322808546873,0.07584896817238096,exit_model_urgent
GOACARBON,316,2016-09-01,96.35,2016-09-29,100.7,,1252.1409737128015,0.041125806287493565,exit_model_urgent
ENIL,40,2016-09-01,760.3,2016-10-04,869.1,,4229.680138096002,0.13907931533920828,signal
GENESYS,328,2016-10-04,92.6,2016-10-07,97.5,,1485.0378041024014,0.04889367473866096,exit_model_urgent
ALKALI,481,2016-10-04,63.15,2016-10-10,93.3,,14379.978352186201,0.4734125873349169,exit_model_urgent
CARBORUNIV,108,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-2398.9496403687554,-0.07905619841224981,exit_model_urgent
CYBERTECH,356,2016-10-04,85.25,2016-11-02,87.85,,803.5335298919999,0.026476441724340175,exit_model_urgent
GSFC,352,2016-10-04,86.25,2016-11-03,94.2,,2676.2892868800045,0.0881518210434784,exit_model_urgent
AARTIIND,183,2016-10-04,165.4104905228,2016-11-04,180.7835764073,,2691.52551031495,0.08891690984874313,signal
AHLEAST,230,2016-10-04,131.8333333333,2016-11-04,140.0,,1756.3768004143603,0.05792481065513563,signal
AIAENG,23,2016-10-04,1271.7203303297,2016-11-04,1200.1059952846,,-1764.774157874992,-0.06033505117596391,signal
GAIL,583,2016-10-04,52.1000863856,2016-11-04,54.8898909864,,1504.28765066696,0.04952493247424477,signal
DHUNINV,147,2016-11-04,210.85,2016-11-08,192.4,,-2836.8145404354,-0.09152505619255394,exit_model_urgent
CENTENKA,100,2016-11-04,308.75,2016-11-09,298.35,,-1164.182090499995,-0.03770630252631563,exit_model_urgent
CINELINE,320,2016-11-04,96.95,2016-11-09,88.8,,-2732.781382207999,-0.08808604248994323,exit_model_urgent
AKSHOPTFBR,1124,2016-11-04,27.6,2016-11-11,25.25,,-2766.174946860803,-0.08916701953623198,exit_model_urgent
