ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-13,24.8,,-2006.4354148959974,-0.050175938153846085,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-07-19,147.85,,-2639.8229493614053,-0.06618511134665411,exit_model_urgent
DTIL,180,2016-07-01,221.6333333333,2016-08-01,210.9666666667,,-2080.457338235974,-0.05214962997534183,exit_model_urgent
CEMPRO,278,2016-07-01,143.7641786056,2016-08-03,141.127672908,,-893.6972891712139,-0.022361192345941888,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-08-04,213.7345327559,,-493.656652186437,-0.012380362560207943,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-10,49.6,,-1447.7831277000005,-0.036217213951219525,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-08-11,287.0,,3794.3434931526062,0.09496316551483838,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-09-12,276.9280195402,,1285.4417663644927,0.03228399625163474,exit_model_urgent
GENESYS,428,2016-10-04,92.6,2016-10-07,97.5,,1937.7932321824046,0.048893674738661026,exit_model_urgent
ATLASCYCLE,131,2016-10-04,302.4,2016-10-17,420.0,,15246.26723867521,0.3848667968888892,exit_model_urgent
CARBORUNIV,141,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3131.9620304814234,-0.07905619841224963,exit_model_urgent
FILATEX,5326,2016-10-04,7.4542545745,2016-11-02,7.9942005799,,2716.0699028631425,0.06841251564636114,exit_model_urgent
GSFC,460,2016-10-04,86.25,2016-11-03,94.2,,3497.4234998999964,0.08815182104347817,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3148.9804723053458,-0.07987606458199908,exit_model_urgent
AARTIIND,240,2016-10-04,165.4104905228,2016-11-15,169.1284046906,,732.6283097165287,0.01845480263980859,exit_model_urgent
GAIL,762,2016-10-04,52.1000863856,2016-11-22,53.6665195953,,1033.943984215468,0.026043754687980723,exit_model_urgent
GOACARBON,358,2017-01-04,113.0,2017-01-13,113.95,,177.39029023199691,0.004384987646017623,exit_model_urgent
FACT,1549,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16279.895712074074,0.40246645761710753,exit_model_urgent
DEEPAKFERT,183,2017-01-04,220.0739903299,2017-01-30,257.2080631399,,6633.551440257739,0.1647123993151003,exit_model_urgent
CHAMBLFERT,620,2017-01-04,65.1595722552,2017-02-01,64.8283927266,,-367.81954019245313,-0.009104684121736374,exit_model_urgent
EMMBI,287,2017-01-04,140.55,2017-02-07,130.55,,-3032.242543782202,-0.07517114927499115,exit_model_urgent
BOMDYEING,793,2017-01-04,51.0,2017-02-15,55.7,,3564.434533244006,0.08813477074509819,exit_model_urgent
BEDMUTHA,1184,2017-04-07,34.95,2017-04-13,32.55,,-3008.037384633608,-0.0726916198969959,exit_model_urgent
BPL,489,2017-04-07,84.55,2017-04-18,77.25,,-3735.9931926353966,-0.09036153611590766,exit_model_urgent
DHANBANK,1133,2017-04-07,36.5,2017-04-18,33.85,,-3168.7816036139993,-0.07662483172602738,exit_model_urgent
ASHOKA,201,2017-04-07,204.95,2017-04-28,196.75,,-1813.8898788353981,-0.04403185047767744,exit_model_urgent
BANSWRAS,441,2017-04-07,93.725,2017-05-12,108.325,,6272.355977439307,0.15175278129954672,exit_model_urgent
AVTNPL,909,2017-04-07,45.5,2017-05-17,46.3,,560.8482859259966,0.013560325582417501,exit_model_urgent
AHLUCONT,120,2017-04-07,342.85,2017-05-22,364.7,,2456.5230909360034,0.05970840238529978,exit_model_urgent
EXCELINDUS,102,2017-04-07,404.7,2017-05-29,370.35,,-3669.7295445048003,-0.0888997791756857,exit_model_urgent
ALMONDZ,9298,2017-07-10,4.425,2017-07-12,3.975,,-4349.583545515801,-0.10571700725423731,exit_model_urgent
GENUSPAPER,4848,2017-10-10,8.45,2017-10-11,7.65,,-4043.1674120351963,-0.09869664821301767,exit_model_urgent
GEECEE,244,2017-10-10,167.3,2017-10-27,158.05,,-2421.186621950401,-0.05931199038613271,exit_model_urgent
BLUESTARCO,105,2017-10-10,386.7077278564,2017-11-02,343.2579572499,,-4725.540189830186,-0.11638025677563288,exit_model_urgent
ALKYLAMINE,181,2017-10-10,226.0638843671,2017-11-07,224.6916306483,,-412.9521261879345,-0.010092295219951924,exit_model_urgent
DLINKINDIA,325,2017-10-10,125.75,2017-11-07,123.7,,-830.6278724250005,-0.020324278878727647,exit_model_urgent
DCW,1005,2017-10-10,40.75,2017-11-08,48.2,,7322.530249755,0.17879999388957055,exit_model_urgent
DHAMPURSUG,135,2017-10-10,302.5,2017-11-08,285.45,,-2466.002182049997,-0.06038572836363629,exit_model_urgent
GNFC,98,2017-10-10,415.9,2017-11-08,455.35,,3702.1667698456076,0.09083244033950488,exit_model_urgent
CYBERTECH,573,2017-10-10,71.45,2017-11-10,68.35,,-1940.9678652582006,-0.04740907590482857,exit_model_urgent
CAMLINFINE,309,2018-01-09,131.75,2018-01-18,127.7,,-1415.192381888999,-0.03476212995066411,exit_model_urgent
COALINDIA,271,2018-01-09,149.7728037279,2018-01-18,139.4283574911,,-2966.595329005213,-0.0730896795681228,exit_model_urgent
EIHAHOTELS,149,2018-01-09,272.625,2018-01-18,260.5,,-1970.0069018935028,-0.04849710346263189,exit_model_urgent
AARTIDRUGS,211,2018-01-09,192.5875,2018-01-19,174.5,,-3979.9040796835543,-0.09794044080249248,exit_model_urgent
ALKALI,447,2018-01-09,91.0,2018-01-19,90.15,,-543.5566362839963,-0.01336275134065925,exit_model_urgent
GREENLAM,31,2018-01-09,1297.1946748987,2018-01-22,1183.3706347675,,-3690.2857701221365,-0.09176839741872124,exit_model_urgent
CROMPTON,153,2018-01-09,265.0067014058,2018-01-24,240.6752277346,,-3885.795315745214,-0.09583665194179435,exit_model_urgent
EVEREADY,91,2018-01-09,444.85,2018-01-29,419.9,,-2433.2697139841985,-0.06010841323187588,exit_model_urgent
ARVSMART,191,2018-01-09,212.45,2018-01-30,198.85,,-2760.8082480714,-0.06803715436761591,exit_model_urgent
FMGOETZE,70,2018-01-09,581.55,2018-01-31,534.35,,-3467.733332181997,-0.08518450279872747,exit_model_urgent
AMRUTANJAN,127,2018-04-13,310.55,2018-04-23,284.95,,-3409.8307051661977,-0.08645648259732727,exit_model_urgent
GRAVITA,231,2018-04-13,171.6386200834,2018-05-08,171.3561648666,,-224.71715516908444,-0.005667731056424335,exit_model_urgent
DISHTV,500,2018-04-13,79.15,2018-05-09,74.25,,-2609.1742909000022,-0.06592986205685412,exit_model_urgent
ESCORTS,43,2018-04-13,920.8241679685,2018-05-18,852.8961116124,,-3080.1629226461955,-0.07779085124744828,exit_model_urgent
ATUL,14,2018-04-13,2691.2995289184,2018-05-28,2693.6240915915,,-119.00128284472885,-0.003158359573295964,exit_model_urgent
ABBOTINDIA,6,2018-04-13,6252.9204423703,2018-07-11,6795.1201938756,,3102.29958130444,0.08268935051753322,exit_model_urgent
DCBBANK,215,2018-07-12,182.6,2018-07-16,161.75,,-4640.653309827998,-0.11820610076232196,exit_model_urgent
ARE&M,50,2018-07-12,780.2520817308,2018-07-19,715.2388927637,,-3407.571731150638,-0.08734540569483049,exit_model_urgent
BAJAJ-AUTO,14,2018-07-12,2643.7748861275,2018-07-20,2424.2784792352,,-3221.8187779623186,-0.08704595611341162,exit_model_urgent
ARMANFIN,111,2018-04-13,354.2,2018-07-24,350.25,,-596.5833734903936,-0.015173983586674033,exit_model_urgent
CHOLAFIN,128,2018-07-12,307.1189221813,2018-07-30,282.1217819068,,-3357.747306810117,-0.08541447283071799,exit_model_urgent
BAJAJELEC,69,2018-07-12,564.0,2018-08-13,557.4,,-611.923732272,-0.01572421965957447,exit_model_urgent
BALKRISIND,34,2018-07-12,1143.0112312295,2018-09-03,1185.4775519911,,1287.5468307070914,0.033130929423875424,exit_model_urgent
EXIDEIND,157,2018-07-12,250.6187596616,2018-09-04,257.8088347091,,970.583944256774,0.02466720108088677,exit_model_urgent
CUB,311,2018-07-12,126.4817864474,2018-09-05,134.3169413601,,2278.5208282293897,0.057924810655098205,exit_model_urgent
ASTRAL,82,2018-07-12,476.0744316363,2018-09-24,450.5656744521,,-2248.7329324612947,-0.05760353954072326,exit_model_urgent
GRINDWELL,76,2018-07-12,515.05,2018-09-26,485.05,,-2437.439964829595,-0.06226886415804278,exit_model_urgent
DCMSHRIRAM,100,2018-10-16,384.8247266569,2018-10-17,343.2946247453,,-4307.7902366088965,-0.11194161752629823,exit_model_urgent
FILATEX,736,2018-10-16,52.65,2018-10-17,47.2,,-4167.057673836796,-0.10753586218043674,exit_model_urgent
GOLDTECH,1508,2018-10-16,25.7,2018-10-17,23.3,,-3775.078588715194,-0.09740730600778195,exit_model_urgent
ABFRL,198,2018-10-16,195.2,2018-10-22,177.4,,-3679.8522469631935,-0.09521061659016376,exit_model_urgent
BHARATGEAR,309,2018-10-16,125.3666666667,2018-10-22,110.6333333333,,-4708.409006544236,-0.12154402765591119,exit_model_urgent
GRAPHITE,43,2018-10-16,889.1670864507,2018-10-23,844.4707040562,,-2075.7258514417917,-0.05428978979897615,exit_model_urgent
