ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-19,57.1,,-3169.2416251069953,-0.07932573572469624,exit_model_urgent
ASHOKA,235,2016-07-01,169.9,2016-08-02,152.55,,-4237.838056237997,-0.10614098546674507,exit_model_urgent
DTIL,180,2016-07-01,221.6333333333,2016-08-03,201.3333333333,,-3814.4573382479794,-0.09561481270989505,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-18,218.05,,15120.7770506386,0.379105088463051,exit_model_urgent
BBTC,96,2016-07-01,413.7610375472,2016-09-07,574.325752236,,15254.45085405789,0.3840393737209803,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-09-15,197.5654375099,,-3484.939272696436,-0.0873984205524186,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-10-04,341.25,,11926.7785031526,0.29849818370361864,signal
CEMPRO,278,2016-07-01,143.7641786056,2016-10-04,142.3215622805,,-561.7960436162102,-0.014056694076068226,signal
GANDHITUBE,152,2016-07-01,261.85,2016-10-04,312.25,,7333.550871889594,0.1842545167454648,signal
BHAGERIA,64,2016-10-04,637.6,2016-10-13,565.45,,-4781.727094988797,-0.11718081220075274,exit_model_urgent
ATLASCYCLE,136,2016-10-04,302.4,2016-10-17,420.0,,15828.185835571203,0.38486679688888903,exit_model_urgent
CARBORUNIV,146,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3243.024513831828,-0.07905619841224962,exit_model_urgent
GHCL,149,2016-10-04,275.1,2016-11-08,250.6,,-3815.3651488707983,-0.09308061617302794,exit_model_urgent
AIAENG,32,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3250.560487540999,-0.079876064581999,exit_model_urgent
GENESYS,445,2016-10-04,92.6,2016-11-21,85.2,,-3458.738345044003,-0.08393569891144716,exit_model_urgent
AARTIIND,249,2016-10-04,165.4104905228,2017-01-04,170.7305321773,,1159.0316155191977,0.02814056973738673,signal
GSFC,477,2016-10-04,86.25,2017-01-04,102.6,,7633.476107504997,0.18554312539130427,signal
FACT,1587,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16679.273399006815,0.40246645761710753,exit_model_urgent
GOACARBON,366,2017-01-04,113.0,2017-01-31,102.8,,-3899.545680936004,-0.09428757872566382,exit_model_urgent
EMMBI,295,2017-01-04,140.55,2017-02-15,128.35,,-3765.7649840270024,-0.0908239418754892,exit_model_urgent
DCBBANK,370,2017-01-04,111.95,2017-02-20,152.7,,14910.898916221995,0.35997969451183554,exit_model_urgent
ATULAUTO,92,2017-01-04,446.7,2017-03-02,408.6,,-3670.493501668796,-0.08931423437743442,exit_model_urgent
ANANTRAJ,910,2017-01-04,45.5451778656,2017-04-07,50.0397677866,,3923.3767531760604,0.09466211852747149,signal
CHAMBLFERT,636,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3835.2919466240855,0.09254715831759767,signal
DEEPAKFERT,188,2017-01-04,220.0739903299,2017-04-07,253.0875711035,,6040.1435122849725,0.145989187043522,signal
BPL,506,2017-04-07,84.55,2017-04-18,77.25,,-3865.874346571596,-0.09036153611590766,exit_model_urgent
DHANBANK,1173,2017-04-07,36.5,2017-04-19,33.3,,-3925.8038579340064,-0.09169332487671247,exit_model_urgent
BEDMUTHA,1225,2017-04-07,34.95,2017-05-19,48.7,,16671.549158635004,0.3893970782432047,exit_model_urgent
BIRLACABLE,949,2017-04-07,45.1,2017-05-23,40.5,,-4537.545135390799,-0.10601765741019954,exit_model_urgent
BANSWRAS,456,2017-04-07,93.725,2017-05-26,84.825,,-4230.298581151197,-0.09898074764150434,exit_model_urgent
EXCELINDUS,105,2017-04-07,404.7,2017-05-29,370.35,,-3777.662766401998,-0.08889977917568564,exit_model_urgent
AVTNPL,941,2017-04-07,45.5,2017-05-30,41.25,,-4171.457880025999,-0.09742868540659337,exit_model_urgent
AHLUCONT,124,2017-04-07,342.85,2017-06-16,317.1,,-3363.992806032802,-0.07912782336940358,exit_model_urgent
GENUSPAPER,5015,2017-10-10,8.45,2017-10-11,7.65,,-4182.4431871609995,-0.09869664821301774,exit_model_urgent
CORALFINAC,435,2017-10-10,97.3,2017-10-17,87.4,,-4476.737054946003,-0.1057692656896198,exit_model_urgent
63MOONS,420,2017-10-10,100.85,2017-10-18,138.25,,15537.636249156,0.36682570175309864,exit_model_urgent
BLUESTARCO,109,2017-10-10,386.7077278564,2017-11-02,343.2579572499,,-4905.560768490388,-0.11638025677563296,exit_model_urgent
GRAVITA,268,2017-10-10,157.9866179374,2017-11-07,144.8053744861,,-3702.8702837947058,-0.08745474992627379,exit_model_urgent
DHAMPURSUG,140,2017-10-10,302.5,2017-11-13,279.4,,-3404.3355961999987,-0.08038572836363633,exit_model_urgent
CYBERTECH,593,2017-10-10,71.45,2017-11-15,64.8,,-4113.865434726198,-0.09709417037648702,exit_model_urgent
DLINKINDIA,337,2017-10-10,125.75,2017-11-15,111.95,,-4821.047209252996,-0.11376364269582497,exit_model_urgent
CENTENKA,123,2017-10-10,342.7,2018-01-09,354.75,,1312.6103758067984,0.031139857226728882,signal
GNFC,101,2017-10-10,415.9,2018-01-09,477.35,,6037.498405657214,0.14372977142870919,signal
ALICON,57,2018-01-09,729.65,2018-01-16,673.15,,-3387.779007384597,-0.08145647834961962,exit_model_urgent
AARTIDRUGS,218,2018-01-09,192.5875,2018-01-19,174.5,,-4111.938812184904,-0.09794044080249246,exit_model_urgent
GOCLCORP,61,2018-01-09,682.1,2018-01-19,620.5,,-3924.9516061452014,-0.09433143080662663,exit_model_urgent
ALKALI,462,2018-01-09,91.0,2018-01-24,83.45,,-3657.1967918640003,-0.08698912496703297,exit_model_urgent
