ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
BEDMUTHA,2298,2016-07-01,17.4,2016-07-22,25.25,,17878.475846961606,0.4471273332873565,exit_model_urgent
ASHOKA,235,2016-07-01,169.9,2016-08-02,152.55,,-4237.838056237997,-0.10614098546674507,exit_model_urgent
GNFC,249,2016-07-01,160.05,2016-08-02,144.75,,-3969.9902203254023,-0.09961721852296163,exit_model_urgent
GILLANDERS,578,2016-07-01,69.15,2016-08-11,63.8,,-3253.057788520404,-0.08139013249168484,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-18,218.05,,15120.7770506386,0.379105088463051,exit_model_urgent
ASHIMASYN,2380,2016-07-01,16.8,2016-09-21,15.5,,-3254.819326527999,-0.08140304438095235,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-10-04,341.25,,12094.593493152606,0.3026981837036188,signal
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-10-04,1354.63906349,,11440.088519085642,0.2868929315397944,signal
CEMPRO,278,2016-07-01,143.7641786056,2016-10-04,142.3215622805,,-561.7960436162102,-0.014056694076068226,signal
ATLASCYCLE,137,2016-10-04,302.4,2016-10-17,420.0,,15944.569554950402,0.384866796888889,exit_model_urgent
CARBORUNIV,147,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3265.2370105019145,-0.07905619841224974,exit_model_urgent
AIAENG,32,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3250.560487540999,-0.079876064581999,exit_model_urgent
CYBERTECH,486,2016-10-04,85.25,2016-11-11,77.05,,-4151.841304698006,-0.10020977528445763,exit_model_urgent
DECCANCE,78,2016-10-04,527.925,2016-11-11,487.95,,-3283.672307689798,-0.07974307509418947,exit_model_urgent
FILATEX,5567,2016-10-04,7.4542545745,2016-11-15,6.5493450655,,-5204.539347643564,-0.12541712888210133,exit_model_urgent
GENESYS,448,2016-10-04,92.6,2016-11-21,85.2,,-3482.0556822016006,-0.0839356989114471,exit_model_urgent
AARTIIND,250,2016-10-04,165.4104905228,2017-01-04,170.7305321773,,1163.6863609630527,0.028140569737386798,signal
AMBIKCO,47,2016-10-04,874.65,2017-01-04,1041.35,,7669.5576299134045,0.18656842992305506,signal
GSFC,481,2016-10-04,86.25,2017-01-04,102.6,,7697.488485764996,0.18554312539130424,signal
FACT,1604,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16857.942364213566,0.40246645761710753,exit_model_urgent
GOACARBON,370,2017-01-04,113.0,2017-01-31,102.8,,-3942.1636665199985,-0.09428757872566368,exit_model_urgent
