ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ESTER,517,2016-07-01,57.95,2016-07-11,52.3,,-3041.552479633803,-0.10151993496807603,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-19,23.65,,-2830.124273976002,-0.09440670738461544,exit_model_urgent
ASTRAL,139,2016-07-01,215.5360413046,2016-08-02,215.6917272286,,-98.85956101856209,-0.0032997723217797347,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
BASML,114,2016-07-01,261.15,2016-08-02,264.7,,159.9192768588,0.005371628084242773,signal
BBTC,72,2016-07-01,413.7610375472,2016-08-02,391.7035637961,,-1707.959427129379,-0.05733178467154294,signal
BFINVEST,255,2016-07-01,117.2977211069,2016-08-02,115.4878730331,,-707.441585673474,-0.0236516166038973,signal
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-08-02,1207.4063206177,,4307.022108375553,0.1465862145305027,signal
DTIL,135,2016-07-01,221.6333333333,2016-08-02,211.3666666667,,-1632.0091036769627,-0.054544847301255264,signal
DWARKESH,839,2016-08-02,35.93,2016-08-04,32.7,,-2831.217049304836,-0.0939191139871972,exit_model_urgent
GOODLUCK,240,2016-08-02,125.55,2016-08-11,114.4,,-2797.193676144001,-0.0928313313468738,exit_model_urgent
BUTTERFLY,173,2016-08-02,173.75,2016-08-12,151.45,,-3978.799057905002,-0.13236741574100727,exit_model_urgent
DEEPAKFERT,173,2016-08-02,173.9542662116,2016-08-16,160.6991894198,,-2414.1694757931255,-0.08022072213693696,exit_model_urgent
DELTACORP,304,2016-08-02,99.05,2016-08-17,137.85,,11674.089983369598,0.38769926085209483,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-08-18,218.05,,11355.524267278,0.3791050884630511,exit_model_urgent
ASAHIINDIA,169,2016-08-02,178.3933045427,2016-09-01,200.1219662194,,3550.883909526041,0.11777991022424279,signal
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
DPSCLTD,827,2016-09-01,36.7,2016-09-09,33.35,,-2892.5241120827995,-0.09530274595095366,exit_model_urgent
BLKASHYAP,1254,2016-09-01,24.2,2016-09-26,22.3,,-2504.6576215055975,-0.0825344886942148,exit_model_urgent
AEGISLOG,232,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4181.473171681933,0.13816988507795455,signal
ARE&M,33,2016-09-01,907.5331583919,2016-10-04,995.4042282754,,2779.289304904105,0.0928019954407308,signal
BSOFT,254,2016-09-01,119.444366088,2016-10-04,119.9964972101,,18.21558277434815,0.0006004041476477738,signal
DEEPAKNTR,256,2016-09-01,118.3087496855,2016-10-04,120.4293316932,,421.0517330073453,0.013902043056258605,signal
DONEAR,588,2016-09-01,51.55,2016-10-04,68.75,,9991.684760551205,0.32963455203491776,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
GOACARBON,315,2016-09-01,96.35,2016-10-04,113.1,,5154.178502276998,0.1698232634748313,signal
ATLASCYCLE,116,2016-09-01,260.5,2016-10-14,403.45,,16460.660423944,0.5447303072322456,exit_model_urgent
CARBORUNIV,110,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-2443.374633708914,-0.0790561984122497,exit_model_urgent
AARTIIND,188,2016-10-04,165.4104905228,2016-11-04,180.7835764073,,2765.0644586842063,0.08891690984874297,signal
AIAENG,24,2016-10-04,1271.7203303297,2016-11-04,1200.1059952846,,-1841.503469086947,-0.060335051175963876,signal
AMBIKCO,35,2016-10-04,874.65,2016-11-04,1003.35,,4381.372703127003,0.1431224801145602,signal
CERA,12,2016-10-04,2435.2832749962,2016-11-04,2687.8670521991,,2913.4661258976485,0.09969634593133027,signal
DECCANCE,58,2016-10-04,527.925,2016-11-04,552.55,,1305.0949506922007,0.04262279126940382,signal
GENESYS,336,2016-10-04,92.6,2016-11-04,98.9,,1860.9811183488055,0.059812465235421344,signal
GSFC,361,2016-10-04,86.25,2016-11-04,91.4,,1733.9171379649997,0.05568805292753622,signal
DHUNINV,150,2016-11-04,210.85,2016-11-08,192.4,,-2894.708714730001,-0.09152505619255398,exit_model_urgent
CINELINE,328,2016-11-04,96.95,2016-11-09,88.8,,-2801.1009167632037,-0.08808604248994338,exit_model_urgent
FACT,1299,2016-11-04,24.4692531859,2016-11-11,22.5755024301,,-2587.826677927198,-0.08141516735921228,exit_model_urgent
ABFRL,212,2016-11-04,149.95,2016-11-15,137.15,,-2841.4598914247945,-0.08938387926242064,exit_model_urgent
ESABINDIA,52,2016-11-04,611.25,2016-11-15,550.95,,-3263.442194219999,-0.10267239874846622,exit_model_urgent
CONCOR,99,2016-11-04,318.6324272492,2016-11-17,289.0447189442,,-3056.058446916384,-0.09688052627938276,exit_model_urgent
COLPAL,39,2016-11-04,811.5009431413,2016-11-21,734.1109024887,,-3145.5049120560434,-0.09938863631111947,exit_model_urgent
CENTEXT,3149,2016-11-04,10.1,2016-12-06,8.8,,-4355.202813850796,-0.1369349632871286,signal
DUCON,382,2016-11-04,83.25,2016-12-06,63.8,,-7691.374858738003,-0.24185572563363372,signal
GIPCL,343,2016-11-04,92.7,2016-12-06,102.0,,3062.0131605587994,0.09630153259546922,signal
ALANKIT,517,2016-12-06,59.7,2016-12-15,36.1,,-12325.3414673708,-0.39933197474706866,exit_model_urgent
DATAMATICS,353,2016-12-06,87.45,2016-12-21,129.8,,14825.388623273797,0.4802546375597483,exit_model_urgent
CYBERTECH,356,2016-12-06,86.7,2016-12-23,79.85,,-2562.742673998404,-0.08303016581776253,exit_model_urgent
ARIES,198,2016-12-06,155.8,2017-01-04,173.15,,3311.2248971472,0.10733862687034659,signal
ASTRAMICRO,270,2016-12-06,114.3,2017-01-04,113.1,,-448.1257812119984,-0.014520779664041942,signal
BEML,73,2016-12-06,420.315428622,2017-01-04,484.2534457136,,4544.065293112391,0.14809703743862226,signal
CENTUM,51,2016-12-06,601.8,2017-01-04,634.0,,1389.8491967543996,0.04528405622200065,signal
CUMMINSIND,43,2016-12-06,713.8790762028,2017-01-04,741.9184253645,,1082.2266591345033,0.035255357215691105,signal
GOACARBON,276,2017-01-04,113.0,2017-01-31,102.8,,-2940.641005296002,-0.09428757872566378,exit_model_urgent
APARINDS,49,2017-01-04,627.3038590691,2017-02-03,636.3179596398,,318.0603101408851,0.010347500089034319,signal
ASHOKA,190,2017-01-04,163.85,2017-02-03,192.85,,5384.786242902002,0.17296905844247795,signal
ATULAUTO,69,2017-01-04,446.7,2017-02-03,422.1,,-1950.8237862515962,-0.06329260912558753,signal
BIL,63,2017-01-04,488.7,2017-02-03,479.9,,-807.5425907052013,-0.026229049233476614,signal
CHENNPETRO,114,2017-01-04,272.7274416405,2017-02-03,292.2632981417,,2102.0370669596887,0.06760933747291491,signal
EMMBI,222,2017-01-04,140.55,2017-02-03,140.9,,-178.84653679320036,-0.005731874995375323,signal
GEECEE,233,2017-01-04,133.95,2017-02-03,144.65,,2236.4856309478055,0.07165846044494233,signal
GOODLUCK,359,2017-01-04,86.85,2017-02-03,93.75,,2220.742160218204,0.07122523097063917,signal
ANANTRAJ,646,2017-02-03,48.5915110343,2017-02-15,43.6974020092,,-3287.8483651727365,-0.10474151646171981,exit_model_urgent
ACE,593,2017-02-03,52.9370796083,2017-03-07,55.1822903363,,1205.149703697225,0.03839072609674989,signal
ALKEM,18,2017-02-03,1693.4329271374,2017-03-07,1914.8153412633,,3862.282879748236,0.12670786522371344,signal
BALPHARMA,320,2017-02-03,98.0,2017-03-07,91.85,,-2225.8448051199994,-0.0709771940408163,signal
BASF,25,2017-02-03,1211.65,2017-03-07,1221.6,,126.91580570499355,0.004189850392604911,signal
CENTRALBK,367,2017-02-03,85.3471847359,2017-03-07,88.5278251609,,1041.3133939507898,0.033244988746040066,signal
DECCANCE,57,2017-02-03,550.425,2017-03-07,513.9,,-2339.886764378698,-0.07457990641613292,signal
GLENMARK,33,2017-02-03,940.8762028106,2017-03-07,894.2942394286,,-1662.086383000391,-0.05353122321497772,signal
GRANULES,254,2017-02-03,123.5718377144,2017-03-07,125.2660246581,,304.08108952611656,0.00968804596538019,signal
