ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
COMPUSOFT,349,2016-08-04,11.4337443382,2016-08-09,10.5922999497,,-309.71375408631957,-0.07761516559083986,exit_model_urgent
BLKASHYAP,197,2016-08-04,20.25,2016-08-10,18.9,,-281.9951305110003,-0.07068875866666674,exit_model_urgent
ASAHISONG,21,2016-08-04,184.9288829526,2016-08-12,170.9402411696,,-309.3812980375442,-0.07966545046113063,exit_model_urgent
DELTACORP,38,2016-08-04,103.7107412275,2016-08-19,139.8066088522,,1355.7918723196026,0.34402158406938677,exit_model_urgent
AGRITECH,138,2016-08-04,28.8,2016-10-20,39.45,,1453.7145975552007,0.3657695746666668,exit_model_urgent
ARVIND,13,2016-08-04,288.0557935364,2016-10-25,382.10129838,,1207.5299332312256,0.3224615509395262,exit_model_urgent
BANCOINDIA,69,2016-08-04,57.4213074508,2016-11-08,57.3560022999,,-20.441866323691556,-0.005159390222545104,signal
BASF,3,2016-08-04,1094.6553180061,2016-11-08,1195.7704422832,,290.13695963937016,0.08834956382064653,signal
BASML,29,2016-08-04,135.675,2016-11-08,150.85,,407.7245623690992,0.10362607457453453,signal
BRIGADE,50,2016-08-04,78.9673703071,2016-11-08,83.5029810563,,194.3166882768478,0.04921442553327034,signal
EDELWEISS,42,2016-08-04,94.627712632,2016-11-08,105.1681621409,,426.71362200367,0.10736651938798736,signal
EMMBI,34,2016-08-04,116.3219711205,2016-11-08,127.9641187861,,379.9258598684887,0.09606345119922681,signal
GODREJIND,10,2016-08-04,395.8087986895,2016-11-08,411.27513069,,138.74352597761435,0.03505316871100039,signal
ENERGYDEV,27,2016-11-08,152.8039615078,2016-11-09,135.5441488696,,-482.608914192419,-0.1169760525379863,exit_model_urgent
GENESYS,36,2016-11-08,114.15,2016-11-09,103.4,,-403.5283848648005,-0.09819642401927299,exit_model_urgent
EMKAY,58,2016-11-08,72.2864470498,2016-11-10,67.0698993246,,-319.4228470040712,-0.07618704045300938,exit_model_urgent
ADFFOODS,130,2016-11-08,32.2778103156,2016-11-15,27.4955658762,,-638.568939066226,-0.1521809786357741,exit_model_urgent
ASAHIINDIA,20,2016-11-08,200.3700103025,2016-11-15,168.3723235867,,-656.071866625552,-0.1637150853151816,exit_model_urgent
BAJAJFINSV,13,2016-11-08,306.1565321529,2016-11-15,281.8198757991,,-332.38459920275955,-0.08351298570285225,exit_model_urgent
BAJAJHLDNG,2,2016-11-08,1995.5690725155,2016-11-15,1835.4344746661,,-336.321920502824,-0.08426717098769121,exit_model_urgent
BRITANNIA,2,2016-11-08,1489.3864038407,2016-11-15,1348.4366064782,,-293.88049300459306,-0.09865824350442559,exit_model_urgent
CGPOWER,51,2016-11-08,81.9415993549,2016-11-15,74.4339904929,,-399.6964611748608,-0.09564355071089921,exit_model_urgent
DYNAMATECH,1,2016-11-08,3240.7389451111,2016-11-15,2879.3272891978,,-374.4462060985197,-0.11554346475929515,exit_model_urgent
ECLERX,8,2016-11-08,498.2329204288,2016-11-15,464.5617929469,,-285.4005290023465,-0.07160318931673536,exit_model_urgent
CEATLTD,3,2016-11-08,1247.0771931075,2016-11-18,1148.74408925,,-310.04688917784097,-0.08287294774572264,exit_model_urgent
FMGOETZE,8,2016-11-08,518.85,2016-11-21,480.8,,-321.0948994736,-0.0773573526726414,exit_model_urgent
BEDMUTHA,134,2017-02-07,29.6,2017-02-14,26.9,,-377.7532257088001,-0.09523830821621623,exit_model_urgent
CENTRALBK,44,2017-02-07,88.7205912472,2017-02-15,82.6002680053,,-284.9952873763882,-0.0730063396911262,exit_model_urgent
CGCL,336,2017-02-07,11.8631182017,2017-02-15,10.592069823,,-443.10434498874247,-0.11116494913834155,exit_model_urgent
FILATEX,1053,2017-02-07,3.7878791419,2017-02-15,3.3490245358,,-478.15656413176384,-0.11987969718216286,exit_model_urgent
GOKULAGRO,363,2017-02-07,10.975,2017-02-15,10.175,,-306.4237128710997,-0.07691503049658308,exit_model_urgent
FSL,112,2017-02-07,35.4725509505,2017-04-18,32.9593969342,,-297.4527225261313,-0.0748699433374178,exit_model_urgent
AVTNPL,114,2017-02-07,34.9231050346,2017-04-28,47.0709652836,,1368.8431790692698,0.34382384658319665,exit_model_urgent
ASTRAL,20,2017-02-07,197.7522738343,2017-05-09,265.5314373428,,1339.6757133985848,0.3387257419151402,exit_model_urgent
ACE,74,2017-02-07,53.4859088974,2017-05-12,65.7098339719,,888.6511872876167,0.2245226841194204,signal
APTECHT,34,2017-02-07,114.5735720885,2017-05-12,122.6413160197,,258.63522843870805,0.06639330820213588,signal
BANCOINDIA,69,2017-02-07,57.3590500168,2017-05-12,65.2993083149,,531.959289611088,0.13440869260634128,signal
CERA,1,2017-02-07,2350.5292381808,2017-05-12,2868.5741500251,,508.590866999647,0.21637291667695768,signal
DTIL,19,2017-02-07,200.4864613094,2017-05-12,203.2055962461,,20.34361933413311,0.005340594073368662,signal
EIDPARRY,14,2017-02-07,273.0531262345,2017-05-12,311.6734695642,,525.3093794913616,0.1374168428413195,signal
DUCON,92,2017-05-12,44.3181818182,2017-05-16,40.0454545455,,-409.4900751065893,-0.10043234840960165,exit_model_urgent
ASTRAMICRO,29,2017-05-12,139.748017156,2017-05-22,128.990612672,,-328.2650321087517,-0.08099924489936156,exit_model_urgent
COFORGE,243,2017-05-12,16.9216775612,2017-05-22,15.6302526051,,-330.354976511052,-0.08033987736314446,exit_model_urgent
ADFFOODS,73,2017-05-12,56.226466911,2017-05-23,51.1915402802,,-384.0584497092227,-0.09356936230545429,exit_model_urgent
CROMPTON,18,2017-05-12,223.8953271026,2017-05-23,206.1544685568,,-335.54495069598124,-0.0832593801354073,exit_model_urgent
GANECOS,12,2017-05-12,319.7949432676,2017-05-23,290.881292902,,-362.3987405826847,-0.09443518631026697,exit_model_urgent
GOKUL,130,2017-05-12,31.65,2017-05-23,29.1,,-348.04889753399993,-0.08459081237914691,exit_model_urgent
EVERESTIND,14,2017-05-12,288.3018628799,2017-05-24,263.7340449959,,-360.18352300384095,-0.08923769774943079,exit_model_urgent
ABFRL,24,2017-05-12,170.1,2017-08-10,168.2,,-62.01978838080004,-0.015191992058788958,signal
ASIANPAINT,3,2017-05-12,1057.2543694152,2017-08-10,1074.1917159926,,38.05491670863012,0.011998032453842199,signal
GMDCLTD,32,2017-05-12,127.3253776076,2017-08-10,127.8513179582,,0.44243097367962037,0.00010858768446065751,signal
DWARKESH,65,2017-08-10,61.2273871936,2017-08-22,56.4821495104,,-324.44749138179805,-0.08152397311401247,exit_model_urgent
AMDIND,114,2017-08-10,35.0,2017-08-31,32.7,,-278.24814707999985,-0.06973637771428567,exit_model_urgent
FMGOETZE,7,2017-08-10,532.9,2017-08-31,488.75,,-324.0536097875997,-0.08687065645862256,exit_model_urgent
BBTC,4,2017-08-10,861.0240030754,2017-09-15,1209.6396857747,,1380.61025977889,0.40086288385911284,exit_model_urgent
BANKINDIA,29,2017-08-10,134.7565186969,2017-09-27,125.7515268974,,-276.86285254366067,-0.07084625669777166,exit_model_urgent
EMMBI,21,2017-08-10,183.935982563,2017-10-06,246.674222761,,1301.967087834446,0.33706527613641946,exit_model_urgent
APCOTEXIND,27,2017-08-10,143.6587281305,2017-11-13,175.1104221177,,817.3040051135172,0.21071130937766772,signal
ASIANTILES,10,2017-08-10,393.6016633922,2017-11-13,476.8711116511,,816.8634615738351,0.2075355715049102,signal
AUROPHARMA,6,2017-08-10,654.4051910365,2017-11-13,678.232129404,,127.16916290324207,0.032387977317697526,signal
BRITANNIA,2,2017-08-10,1896.147633231,2017-11-13,2247.4173600999,,687.2864932849257,0.1812323263336311,signal
GODREJIND,6,2017-08-10,575.13446056,2017-11-13,555.5378034592,,-131.45940488125643,-0.038095266961067485,signal
AUSOMENT,70,2017-11-13,59.3710304541,2017-11-15,55.0986734239,,-315.7806943774831,-0.07598238976682035,exit_model_urgent
GSS,160,2017-11-13,26.15,2017-11-20,24.0,,-360.828432928,-0.08624006523135755,exit_model_urgent
CERA,1,2017-08-10,2724.2519267404,2017-11-30,3642.9221219289,,907.7130033079729,0.3331971593368982,exit_model_urgent
DLF,21,2017-11-13,190.7960004847,2018-01-09,254.5046996085,,1321.7673011889888,0.3298879426021606,exit_model_urgent
APLAPOLLO,22,2017-11-13,184.8520552511,2018-01-22,245.3392460317,,1314.361373775801,0.3231973738503264,exit_model_urgent
ASAHIINDIA,11,2017-11-13,373.2071273845,2018-01-30,342.0527905511,,-359.2095125827577,-0.08749942816915345,exit_model_urgent
CREST,17,2017-11-13,238.7470988293,2018-02-02,219.7388887933,,-339.4640381478175,-0.08363859887780949,exit_model_urgent
CALSOFT,86,2017-11-13,48.35,2018-02-07,76.9,,2438.5757392548003,0.5864639472967942,exit_model_urgent
EVEREADY,11,2017-11-13,370.8634943458,2018-02-12,374.8897566487,,27.880767301196556,0.006834361558477806,signal
GLOBUSSPR,33,2017-11-13,126.5799908477,2018-02-12,140.7930023396,,434.6845523391048,0.10406272803131901,signal
ASHIMASYN,136,2018-02-12,32.0,2018-02-15,29.2,,-398.3041443840002,-0.09152209200000005,exit_model_urgent
BFUTILITIE,8,2018-02-12,495.2,2018-02-16,451.05,,-369.13391966719973,-0.09317798860743128,exit_model_urgent
BPL,42,2018-02-12,102.8,2018-02-16,94.05,,-384.8657844191994,-0.0891388235175096,exit_model_urgent
DHUNINV,9,2018-02-12,438.2930140252,2018-02-16,409.3650786473,,-276.21711182940044,-0.07002345285271218,exit_model_urgent
APTECHT,22,2018-02-12,192.9982443574,2018-02-19,175.4583092127,,-402.9562204655672,-0.09490341168816792,exit_model_urgent
BFINVEST,12,2018-02-12,350.0833152469,2018-02-19,324.7943570266,,-320.36430626265656,-0.07625906279783623,exit_model_urgent
APCOTEXIND,22,2018-02-12,196.8296863222,2018-02-22,183.3399154745,,-314.19163499721844,-0.07255733736749978,exit_model_urgent
ARE&M,5,2018-02-12,791.3175110324,2018-03-07,720.723279007,,-368.88491927991663,-0.0932330990119623,exit_model_urgent
