ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ALLCARGO,119,2016-08-04,33.5431485112,2016-08-16,32.2448749906,,-170.54927083592338,-0.042726673359335075,exit_model_urgent
GPPL,32,2016-08-04,124.7128213601,2016-08-17,128.7831310252,,114.1985031683239,0.02861536757079473,exit_model_urgent
BASF,3,2016-08-04,1094.6553180061,2016-08-22,1084.8109394683,,-42.741548805329785,-0.013015222874960293,exit_model_urgent
ASAHISONG,21,2016-08-04,184.9288829526,2016-08-26,183.4386839997,,-46.91399860544425,-0.0120803191904057,exit_model_urgent
CENTRALBK,42,2016-08-04,94.0216586221,2016-08-26,97.1541075255,,115.67997598203146,0.029294156078437012,exit_model_urgent
GODREJIND,10,2016-08-04,395.8087986895,2016-08-30,424.0559902532,,266.55212160961355,0.06734365746596645,exit_model_urgent
COMPUSOFT,349,2016-08-04,11.4337443382,2016-09-09,10.5428032209,,-326.9881124375197,-0.08194416992537203,exit_model_urgent
DHAMPURSUG,35,2016-08-04,113.5054332148,2016-09-12,94.1264568123,,-694.2426994086422,-0.17475379931683677,exit_model_urgent
ARVIND,13,2016-08-04,288.0557935364,2016-09-16,313.8164957695,,319.82749929472675,0.08540746578407131,exit_model_urgent
BEDMUTHA,141,2016-08-04,28.35,2016-10-04,24.1,,-615.3277094562,-0.15393390857848321,exit_model_urgent
BANCOINDIA,69,2016-08-04,57.4213074508,2016-10-07,60.2958999038,,182.4110683454087,0.046039332593353514,exit_model_urgent
EDELWEISS,42,2016-08-04,94.627712632,2016-10-07,115.2359457526,,849.5605336950712,0.2137601257816331,exit_model_urgent
EMMBI,34,2016-08-04,116.3219711205,2016-11-03,125.476480396,,295.34615460508894,0.07467765137020736,exit_model_urgent
BASML,29,2016-08-04,135.675,2016-11-08,150.85,,407.7245623690992,0.10362607457453453,signal
BLKASHYAP,197,2016-08-04,20.25,2016-11-08,24.25,,755.2000194889997,0.18930877219753078,signal
BRIGADE,50,2016-08-04,78.9673703071,2016-11-08,83.5029810563,,194.3166882768478,0.04921442553327034,signal
DELTACORP,38,2016-08-04,103.7107412275,2016-11-08,153.490009651,,1875.7611026740033,0.4759597096371531,signal
ECLERX,8,2016-11-08,498.2329204288,2016-11-09,473.457621689,,-214.23389906554667,-0.05374843027262431,exit_model_urgent
BRITANNIA,2,2016-11-08,1489.3864038407,2016-11-15,1348.4366064782,,-293.88049300459306,-0.09865824350442559,exit_model_urgent
EMKAY,57,2016-11-08,72.2864470498,2016-11-15,56.1896712119,,-934.0885589623831,-0.22670250437122244,exit_model_urgent
ENERGYDEV,27,2016-11-08,152.8039615078,2016-11-18,90.4501573695,,-1700.146684695119,-0.4120861469042121,exit_model_urgent
FMGOETZE,7,2016-11-08,518.85,2016-11-23,497.65,,-163.00803703940073,-0.04488168533140619,exit_model_urgent
ADFFOODS,128,2016-11-08,32.2778103156,2016-12-06,28.0290060583,,-560.4644582333303,-0.13565444920629216,exit_model_urgent
CGPOWER,50,2016-11-08,81.9415993549,2016-12-06,65.3952245605,,-843.7975722816277,-0.20595096481508196,exit_model_urgent
BAJAJHLDNG,2,2016-11-08,1995.5690725155,2016-12-09,1837.8980838638,,-331.3947021074241,-0.08303263131094904,exit_model_urgent
CEATLTD,3,2016-11-08,1247.0771931075,2016-12-12,1184.6185210352,,-202.4235938222405,-0.054106138454785895,exit_model_urgent
ASAHIINDIA,20,2016-11-08,200.3700103025,2016-12-19,177.6491722935,,-470.534892489552,-0.11741649655534335,exit_model_urgent
BAJAJFINSV,13,2016-11-08,306.1565321529,2017-02-07,367.8652037921,,786.2046647062407,0.19753712741388324,signal
DYNAMATECH,1,2016-11-08,3240.7389451111,2017-02-07,3063.9803937921,,-203.40420507368617,-0.0627647609137221,signal
GENESYS,36,2016-11-08,114.15,2017-02-07,142.15,,974.2121351351998,0.23706919139903626,signal
CENTRALBK,45,2017-02-07,88.7205912472,2017-02-09,86.744738862,,-104.97126444707828,-0.02629259716034915,exit_model_urgent
DTIL,19,2017-02-07,200.4864613094,2017-02-10,193.8544248784,,-141.32981703967607,-0.03710181413028955,exit_model_urgent
AGRITECH,138,2016-08-04,28.8,2017-02-15,30.05,,156.5145975552009,0.03938068577777801,exit_model_urgent
FILATEX,1054,2017-02-07,3.7878791419,2017-02-15,3.3490245358,,-478.6106539362577,-0.11987969718216292,exit_model_urgent
ASTRAL,20,2017-02-07,197.7522738343,2017-02-22,194.2587319201,,-85.77839505541533,-0.021688346078713235,exit_model_urgent
BANCOINDIA,69,2017-02-07,57.3590500168,2017-02-22,58.0326820384,,30.56207653258798,0.007722035934522898,exit_model_urgent
GPPL,33,2017-02-07,119.0734183149,2017-02-22,116.9544096218,,-85.73178689846145,-0.021817908422235383,exit_model_urgent
FSL,112,2017-02-07,35.4725509505,2017-03-14,34.7309645194,,-99.03715298373163,-0.02492801534717761,exit_model_urgent
EIDPARRY,14,2017-02-07,273.0531262345,2017-03-20,260.0402519665,,-197.55566687643795,-0.05167902399507406,exit_model_urgent
BEDMUTHA,134,2017-02-07,29.6,2017-03-21,26.5,,-431.3532257088,-0.10875182172972972,exit_model_urgent
ACE,74,2017-02-07,53.4859088974,2017-03-24,52.4880374628,,-89.7617543857832,-0.022678808416919827,exit_model_urgent
APTECHT,34,2017-02-07,114.5735720885,2017-04-19,128.0391590816,,442.1618925433072,0.11350577020803827,exit_model_urgent
ALKYLAMINE,28,2017-02-07,142.3880112597,2017-05-12,178.4316330263,,993.1858743972612,0.2491145411176607,signal
AVTNPL,114,2017-02-07,34.9231050346,2017-05-12,45.0305907804,,1136.240485704469,0.28539907303632817,signal
CERA,1,2017-02-07,2350.5292381808,2017-05-12,2868.5741500251,,508.590866999647,0.21637291667695768,signal
GSPL,25,2017-02-07,155.1017382121,2017-05-12,161.5351737015,,145.2400507237753,0.03745671773843335,signal
DUCON,94,2017-05-12,44.3181818182,2017-05-17,38.0454545455,,-606.3920332610796,-0.1455605535377881,exit_model_urgent
CCL,13,2017-05-12,307.4858523563,2017-05-24,263.6509110923,,-585.9318094613805,-0.14658130546653086,exit_model_urgent
DISHTV,43,2017-05-12,96.8150057937,2017-05-24,90.0938006952,,-305.7559702276599,-0.07344526708942771,exit_model_urgent
ABFRL,24,2017-05-12,170.1,2017-05-30,169.35,,-34.41978838080013,-0.008431263075837775,exit_model_urgent
ASTRAMICRO,29,2017-05-12,139.748017156,2017-05-31,130.169506314,,-294.0771164907519,-0.07256339252741699,exit_model_urgent
GOKULAGRO,363,2017-02-07,10.975,2017-06-07,14.725,,1345.2262871289008,0.3376635572027337,exit_model_urgent
ASIANPAINT,3,2017-05-12,1057.2543694152,2017-06-09,1078.5310361901,,51.072877301129665,0.016102361859357033,exit_model_urgent
