ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BBTC,96,2016-07-01,413.7610375472,2016-07-18,385.9324287571,,-2831.308199916508,-0.07127977521509837,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
DTIL,180,2016-07-01,221.6333333333,2016-08-03,201.3333333333,,-3814.4573382479794,-0.09561481270989505,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-04,208.95,,12818.477050638598,0.32138228478401515,exit_model_urgent
BFINVEST,341,2016-07-01,117.2977211069,2016-08-19,161.6145415084,,14951.158017953836,0.3737927537045605,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-09-14,200.345543295,,-2970.6197024529392,-0.07449985487276468,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-10-04,341.25,,12094.593493152606,0.3026981837036188,signal
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-10-04,1354.63906349,,11440.088519085642,0.2868929315397944,signal
CEMPRO,278,2016-07-01,143.7641786056,2016-10-04,142.3215622805,,-561.7960436162102,-0.014056694076068226,signal
ALKALI,655,2016-10-04,63.15,2016-10-06,84.05,,13523.133203081,0.3269359444212193,exit_model_urgent
ATLASCYCLE,136,2016-10-04,302.4,2016-10-14,403.45,,13577.3858355712,0.33013796091005293,exit_model_urgent
CARBORUNIV,147,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3265.2370105019145,-0.07905619841224974,exit_model_urgent
AIAENG,32,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3250.560487540999,-0.079876064581999,exit_model_urgent
CERA,16,2016-10-04,2435.2832749962,2016-11-11,2167.4752701263,,-4441.647011967936,-0.1139920522175923,exit_model_urgent
DECCANCE,78,2016-10-04,527.925,2016-11-11,487.95,,-3283.672307689798,-0.07974307509418947,exit_model_urgent
APOLSINHOT,135,2016-10-04,305.0,2016-11-18,412.65,,14367.140361899998,0.34892872767213107,exit_model_urgent
GENESYS,446,2016-10-04,92.6,2016-11-21,85.2,,-3466.5107907631973,-0.08393569891144702,exit_model_urgent
AMBIKCO,47,2016-10-04,874.65,2017-01-04,1041.35,,7669.5576299134045,0.18656842992305506,signal
GSFC,479,2016-10-04,86.25,2017-01-04,102.6,,7665.482296634997,0.18554312539130427,signal
BASML,137,2017-01-04,311.25,2017-01-12,290.35,,-3034.8070304949943,-0.07117068637750991,exit_model_urgent
FACT,1644,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,17278.339929405927,0.4024664576171076,exit_model_urgent
EMMBI,305,2017-01-04,140.55,2017-02-07,130.55,,-3222.418034333001,-0.07517114927499112,exit_model_urgent
ATULAUTO,96,2017-01-04,446.7,2017-02-16,416.55,,-3066.8801756543908,-0.07151705506245781,exit_model_urgent
GOLDIAM,2747,2017-01-04,15.63,2017-02-21,14.57,,-3084.5109734961225,-0.07184039014459379,exit_model_urgent
CELEBRITY,4050,2017-01-04,10.6,2017-03-15,14.1,,14002.33159044,0.326166587245283,exit_model_urgent
APARINDS,68,2017-01-04,627.3038590691,2017-04-07,761.2553320657,,8937.131143115905,0.20951313667750263,signal
ASHOKA,262,2017-01-04,163.85,2017-04-07,204.95,,10595.536819159599,0.24681709017882209,signal
CHAMBLFERT,658,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3967.959278111077,0.09254715831759755,signal
CHENNPETRO,157,2017-01-04,272.7274416405,2017-04-07,322.0404186238,,7569.918613169277,0.17679204495180226,signal
BEDMUTHA,1285,2017-04-07,34.95,2017-04-13,32.55,,-3264.6351682890163,-0.07269161989699606,exit_model_urgent
DHANBANK,1231,2017-04-07,36.5,2017-04-18,33.85,,-3442.8686266980003,-0.07662483172602741,exit_model_urgent
ALKALI,536,2017-04-07,83.7,2017-04-19,78.0,,-3235.6439178144064,-0.0721224504229392,exit_model_urgent
AROGRANITE,543,2017-04-07,82.75,2017-04-24,76.95,,-3330.1256653590026,-0.07411272644108767,exit_model_urgent
AVTNPL,987,2017-04-07,45.5,2017-05-23,42.5,,-3141.6261185819967,-0.06995615793406586,exit_model_urgent
BIRLACABLE,996,2017-04-07,45.1,2017-05-23,40.5,,-4762.270763803201,-0.10601765741019957,exit_model_urgent
BANSWRAS,479,2017-04-07,93.725,2017-05-26,84.825,,-4443.668904323291,-0.0989807476415042,exit_model_urgent
EXCELINDUS,111,2017-04-07,404.7,2017-05-29,370.35,,-3993.5292101963933,-0.08889977917568555,exit_model_urgent
GOACARBON,352,2017-04-07,127.45,2017-06-15,175.15,,16609.959299859198,0.3702423254185955,exit_model_urgent
ASIANHOTNR,353,2017-04-07,127.05,2017-07-10,137.0,,3331.9646036241975,0.07429353177016916,signal
DONEAR,597,2017-07-10,74.6,2017-07-13,68.55,,-3790.9786937304016,-0.08512128771045581,exit_model_urgent
COMPUSOFT,3466,2017-07-10,12.85,2017-07-18,11.8,,-3818.436335705199,-0.08573415425680932,exit_model_urgent
DIVISLAB,62,2017-07-10,708.0822573464,2017-07-25,650.4073495207,,-3752.418548115522,-0.08547436287293744,exit_model_urgent
GENUSPAPER,5218,2017-10-10,8.45,2017-10-11,7.65,,-4351.742482673195,-0.09869664821301764,exit_model_urgent
CORALFINAC,453,2017-10-10,97.3,2017-10-16,90.2,,-3393.581346874802,-0.07699228727235359,exit_model_urgent
ARIES,261,2017-10-10,168.7,2017-10-17,247.9,,20494.104473775602,0.4654503442774156,exit_model_urgent
DWARKESH,559,2017-10-10,78.75,2017-10-19,73.45,,-3139.757517455,-0.07132367930158731,exit_model_urgent
GEECEE,263,2017-10-10,167.3,2017-11-02,156.3,,-3069.9716457908,-0.0697722414321578,exit_model_urgent
DHAMPURSUG,145,2017-10-10,302.5,2017-11-13,279.4,,-3525.9190103500005,-0.08038572836363637,exit_model_urgent
CYBERTECH,617,2017-10-10,71.45,2017-11-14,66.2,,-3416.562518087798,-0.07750004861301604,exit_model_urgent
COCHINSHIP,179,2017-10-10,245.7849467928,2017-12-18,228.8409255591,,-3209.9337714429203,-0.07296049304855586,exit_model_urgent
