ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BLUECHIP,80000,2016-07-01,0.5,2016-07-08,0.45,,-4160.883679999999,-0.10402209199999997,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-19,57.1,,-3169.2416251069953,-0.07932573572469624,exit_model_urgent
DTIL,180,2016-07-01,221.63333333333333,2016-08-03,201.33333333333331,,-3814.457338248001,-0.09561481270988122,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-17,46.65,,-3748.7831277000005,-0.09377818956097562,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-18,218.05,,15120.7770506386,0.379105088463051,exit_model_urgent
ASTRAL,185,2016-07-01,215.53604130459465,2016-09-15,197.5654375099282,,-3484.9392726902224,-0.08739842055226495,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608568995656,2016-10-04,310.0141016447811,,6215.2679999535685,0.15609706644349283,signal
BASML,153,2016-07-01,261.15,2016-10-04,341.25,,12094.593493152606,0.3026981837036188,signal
CEMPRO,278,2016-07-01,143.76417860564388,2016-10-04,142.32156228053535,,-561.7960436186331,-0.014056694076124558,signal
ALKALI,640,2016-10-04,63.15,2016-10-10,93.3,,19133.443129728003,0.4734125873349169,exit_model_urgent
ATLASCYCLE,133,2016-10-04,302.4,2016-10-17,420.0,,15479.0346774336,0.3848667968888889,exit_model_urgent
CARBORUNIV,143,2016-10-04,280.97096895865775,2016-11-02,259.8885633751296,,-3176.387023811294,-0.07905619841200537,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297204,2016-11-11,1175.255291260932,,-3148.9804723049892,-0.07987606458198876,exit_model_urgent
GENESYS,436,2016-10-04,92.6,2016-11-21,85.2,,-3388.7863335711954,-0.08393569891144698,exit_model_urgent
